Time,P
7/1/2022 0:00,296.4166667
7/1/2022 1:00,278.25
7/1/2022 2:00,260.6666667
7/1/2022 3:00,249.5
7/1/2022 4:00,251.75
7/1/2022 5:00,249.25
7/1/2022 6:00,219.3333333
7/1/2022 7:00,207.75
7/1/2022 8:00,229.4166667
7/1/2022 9:00,245.5
7/1/2022 10:00,249.5833333
7/1/2022 11:00,246.4166667
7/1/2022 12:00,270.9166667
7/1/2022 13:00,271.5833333
7/1/2022 14:00,256.4166667
7/1/2022 15:00,240.8333333
7/1/2022 16:00,238
7/1/2022 17:00,251.3333333
7/1/2022 18:00,269.5
7/1/2022 19:00,279.4166667
7/1/2022 20:00,278.6666667
7/1/2022 21:00,290
7/1/2022 22:00,305.4166667
7/1/2022 23:00,305.5833333
7/2/2022 0:00,289.5833333
7/2/2022 1:00,274.0833333
7/2/2022 2:00,263.3333333
7/2/2022 3:00,249
7/2/2022 4:00,241.8333333
7/2/2022 5:00,242.5833333
7/2/2022 6:00,223.6666667
7/2/2022 7:00,219.25
7/2/2022 8:00,221.3333333
7/2/2022 9:00,252.5833333
7/2/2022 10:00,273.8333333
7/2/2022 11:00,262.1666667
7/2/2022 12:00,260
7/2/2022 13:00,264.4166667
7/2/2022 14:00,263.5
7/2/2022 15:00,263.5
7/2/2022 16:00,253.0833333
7/2/2022 17:00,286.1666667
7/2/2022 18:00,283.4166667
7/2/2022 19:00,285.6666667
7/2/2022 20:00,294.4166667
7/2/2022 21:00,298.8333333
7/2/2022 22:00,294.5
7/2/2022 23:00,269.75
7/3/2022 0:00,265.9166667
7/3/2022 1:00,259.4166667
7/3/2022 2:00,246.9166667
7/3/2022 3:00,235.8333333
7/3/2022 4:00,235.3333333
7/3/2022 5:00,235
7/3/2022 6:00,197.0083333
7/3/2022 7:00,223.5
7/3/2022 8:00,244.5833333
7/3/2022 9:00,266.9166667
7/3/2022 10:00,270.5
7/3/2022 11:00,281.1666667
7/3/2022 12:00,293.75
7/3/2022 13:00,278.1666667
7/3/2022 14:00,272.4166667
7/3/2022 15:00,264.5833333
7/3/2022 16:00,218.2341667
7/3/2022 17:00,279.9166667
7/3/2022 18:00,280.3333333
7/3/2022 19:00,302.5
7/3/2022 20:00,300.9166667
7/3/2022 21:00,305.6666667
7/3/2022 22:00,316
7/3/2022 23:00,308.4166667
7/4/2022 0:00,304.5
7/4/2022 1:00,294.4166667
7/4/2022 2:00,278.6666667
7/4/2022 3:00,263.25
7/4/2022 4:00,267
7/4/2022 5:00,225.8916667
7/4/2022 6:00,246.3333333
7/4/2022 7:00,240.9166667
7/4/2022 8:00,247.0833333
7/4/2022 9:00,271.8333333
7/4/2022 10:00,286.3333333
7/4/2022 11:00,306.1666667
7/4/2022 12:00,306.5833333
7/4/2022 13:00,310.25
7/4/2022 14:00,295.9166667
7/4/2022 15:00,283.1666667
7/4/2022 16:00,222.725
7/4/2022 17:00,283.75
7/4/2022 18:00,286.25
7/4/2022 19:00,309.25
7/4/2022 20:00,312.9166667
7/4/2022 21:00,318.5833333
7/4/2022 22:00,312.9166667
7/4/2022 23:00,300.8333333
7/5/2022 0:00,293
7/5/2022 1:00,291.0833333
7/5/2022 2:00,276.75
7/5/2022 3:00,271.1666667
7/5/2022 4:00,276.25
7/5/2022 5:00,238.1666667
7/5/2022 6:00,212.9333333
7/5/2022 7:00,247.4166667
7/5/2022 8:00,274.3333333
7/5/2022 9:00,299.8333333
7/5/2022 10:00,312.9166667
7/5/2022 11:00,301.6666667
7/5/2022 12:00,313.3333333
7/5/2022 13:00,312.1666667
7/5/2022 14:00,303.0833333
7/5/2022 15:00,302.8333333
7/5/2022 16:00,288.1666667
7/5/2022 17:00,296.4166667
7/5/2022 18:00,288
7/5/2022 19:00,295.0833333
7/5/2022 20:00,304.1666667
7/5/2022 21:00,322.5833333
7/5/2022 22:00,309.25
7/5/2022 23:00,299.6666667
7/6/2022 0:00,288.25
7/6/2022 1:00,278.1666667
7/6/2022 2:00,259.9166667
7/6/2022 3:00,245.25
7/6/2022 4:00,231.0833333
7/6/2022 5:00,225.3333333
7/6/2022 6:00,227.8333333
7/6/2022 7:00,226.25
7/6/2022 8:00,238.1666667
7/6/2022 9:00,257.5
7/6/2022 10:00,267.5
7/6/2022 11:00,255.75
7/6/2022 12:00,274.0833333
7/6/2022 13:00,275.1666667
7/6/2022 14:00,262
7/6/2022 15:00,248.1666667
7/6/2022 16:00,262.9166667
7/6/2022 17:00,268
7/6/2022 18:00,262.1666667
7/6/2022 19:00,280.9166667
7/6/2022 20:00,270.5833333
7/6/2022 21:00,280
7/6/2022 22:00,279.0833333
7/6/2022 23:00,271.4166667
7/7/2022 0:00,258
7/7/2022 1:00,249.75
7/7/2022 2:00,234.75
7/7/2022 3:00,223
7/7/2022 4:00,227.1666667
7/7/2022 5:00,233.1666667
7/7/2022 6:00,202.1916667
7/7/2022 7:00,233.9166667
7/7/2022 8:00,208.8166667
7/7/2022 9:00,261.9166667
7/7/2022 10:00,267.9166667
7/7/2022 11:00,287.0833333
7/7/2022 12:00,308.8333333
7/7/2022 13:00,296.6666667
7/7/2022 14:00,276.5833333
7/7/2022 15:00,259.6666667
7/7/2022 16:00,253.0833333
7/7/2022 17:00,268.0833333
7/7/2022 18:00,283.3333333
7/7/2022 19:00,280.9166667
7/7/2022 20:00,281.6666667
7/7/2022 21:00,285.5
7/7/2022 22:00,289.9166667
7/7/2022 23:00,278.6666667
7/8/2022 0:00,271.0833333
7/8/2022 1:00,265.5
7/8/2022 2:00,251.9166667
7/8/2022 3:00,236.5
7/8/2022 4:00,239.1666667
7/8/2022 5:00,218.4166667
7/8/2022 6:00,204.75
7/8/2022 7:00,217.6666667
7/8/2022 8:00,232
7/8/2022 9:00,265.0833333
7/8/2022 10:00,247
7/8/2022 11:00,264.25
7/8/2022 12:00,272.3333333
7/8/2022 13:00,268.6666667
7/8/2022 14:00,265.75
7/8/2022 15:00,263.25
7/8/2022 16:00,263.4166667
7/8/2022 17:00,277.9166667
7/8/2022 18:00,322.8333333
7/8/2022 19:00,337.75
7/8/2022 20:00,369.0833333
7/8/2022 21:00,397.3333333
7/8/2022 22:00,376.1666667
7/8/2022 23:00,366
7/9/2022 0:00,352.9166667
7/9/2022 1:00,336
7/9/2022 2:00,319.9166667
7/9/2022 3:00,302.3333333
7/9/2022 4:00,298.1666667
7/9/2022 5:00,296.5
7/9/2022 6:00,276
7/9/2022 7:00,292.5833333
7/9/2022 8:00,295.6666667
7/9/2022 9:00,329.6666667
7/9/2022 10:00,323.3333333
7/9/2022 11:00,323
7/9/2022 12:00,345.9166667
7/9/2022 13:00,344.9166667
7/9/2022 14:00,339.1666667
7/9/2022 15:00,326.75
7/9/2022 16:00,338.3333333
7/9/2022 17:00,341.6666667
7/9/2022 18:00,345.8333333
7/9/2022 19:00,362.5833333
7/9/2022 20:00,353.8333333
7/9/2022 21:00,361.5833333
7/9/2022 22:00,390.1666667
7/9/2022 23:00,389.5833333
7/10/2022 0:00,377.1666667
7/10/2022 1:00,355.6666667
7/10/2022 2:00,334.25
7/10/2022 3:00,315.8333333
7/10/2022 4:00,314.3333333
7/10/2022 5:00,321.5
7/10/2022 6:00,296.5
7/10/2022 7:00,284.5
7/10/2022 8:00,307.3333333
7/10/2022 9:00,274.0833333
7/10/2022 10:00,286.6666667
7/10/2022 11:00,316.25
7/10/2022 12:00,335.3333333
7/10/2022 13:00,320
7/10/2022 14:00,301.9166667
7/10/2022 15:00,284.5
7/10/2022 16:00,268.75
7/10/2022 17:00,226.75
7/10/2022 18:00,321.75
7/10/2022 19:00,321.4166667
7/10/2022 20:00,323.6666667
7/10/2022 21:00,333.1666667
7/10/2022 22:00,334.9166667
7/10/2022 23:00,322.4166667
7/11/2022 0:00,310.5833333
7/11/2022 1:00,297.9166667
7/11/2022 2:00,286.5
7/11/2022 3:00,273.9166667
7/11/2022 4:00,272.4166667
7/11/2022 5:00,279.1666667
7/11/2022 6:00,196.1916667
7/11/2022 7:00,270.75
7/11/2022 8:00,285.4166667
7/11/2022 9:00,296.6666667
7/11/2022 10:00,311.9166667
7/11/2022 11:00,319.9166667
7/11/2022 12:00,346.5833333
7/11/2022 13:00,343.5833333
7/11/2022 14:00,332.5833333
7/11/2022 15:00,329.25
7/11/2022 16:00,312.1666667
7/11/2022 17:00,282.6666667
7/11/2022 18:00,322.4166667
7/11/2022 19:00,365.8333333
7/11/2022 20:00,363
7/11/2022 21:00,371.9166667
7/11/2022 22:00,354.75
7/11/2022 23:00,370
7/12/2022 0:00,351.0833333
7/12/2022 1:00,334.5
7/12/2022 2:00,318.25
7/12/2022 3:00,303.3333333
7/12/2022 4:00,295.5833333
7/12/2022 5:00,293.9166667
7/12/2022 6:00,212.7
7/12/2022 7:00,235.0833333
7/12/2022 8:00,251.1666667
7/12/2022 9:00,317.1666667
7/12/2022 10:00,329.9166667
7/12/2022 11:00,350.6666667
7/12/2022 12:00,355.6666667
7/12/2022 13:00,356
7/12/2022 14:00,324.3333333
7/12/2022 15:00,311.25
7/12/2022 16:00,306.5
7/12/2022 17:00,271.9166667
7/12/2022 18:00,250.1666667
7/12/2022 19:00,360.8333333
7/12/2022 20:00,364
7/12/2022 21:00,383.0833333
7/12/2022 22:00,375
7/12/2022 23:00,358.5
7/13/2022 0:00,350.1666667
7/13/2022 1:00,337.5
7/13/2022 2:00,320.5
7/13/2022 3:00,309.6666667
7/13/2022 4:00,302.9166667
7/13/2022 5:00,303.4166667
7/13/2022 6:00,226.3608333
7/13/2022 7:00,288.5
7/13/2022 8:00,285.0833333
7/13/2022 9:00,350.6666667
7/13/2022 10:00,344.9166667
7/13/2022 11:00,344.25
7/13/2022 12:00,342.5
7/13/2022 13:00,288.5916667
7/13/2022 14:00,311.9
7/13/2022 15:00,345.75
7/13/2022 16:00,328.25
7/13/2022 17:00,323.4166667
7/13/2022 18:00,319.5833333
7/13/2022 19:00,340.3333333
7/13/2022 20:00,351.75
7/13/2022 21:00,356.75
7/13/2022 22:00,351
7/13/2022 23:00,332.6666667
7/14/2022 0:00,328.25
7/14/2022 1:00,317.25
7/14/2022 2:00,300.4166667
7/14/2022 3:00,287.1666667
7/14/2022 4:00,284.25
7/14/2022 5:00,287
7/14/2022 6:00,217.9083333
7/14/2022 7:00,282.1666667
7/14/2022 8:00,302.0833333
7/14/2022 9:00,312.5
7/14/2022 10:00,326
7/14/2022 11:00,339.5
7/14/2022 12:00,352.8333333
7/14/2022 13:00,352.75
7/14/2022 14:00,340.6666667
7/14/2022 15:00,334.25
7/14/2022 16:00,315.4166667
7/14/2022 17:00,309.3333333
7/14/2022 18:00,326.5
7/14/2022 19:00,346
7/14/2022 20:00,343.6666667
7/14/2022 21:00,354.25
7/14/2022 22:00,343.75
7/14/2022 23:00,331.5833333
7/15/2022 0:00,335.4166667
7/15/2022 1:00,313.6666667
7/15/2022 2:00,297.8333333
7/15/2022 3:00,285.6666667
7/15/2022 4:00,290.1666667
7/15/2022 5:00,297.25
7/15/2022 6:00,231.5466667
7/15/2022 7:00,296.9166667
7/15/2022 8:00,288.75
7/15/2022 9:00,311.25
7/15/2022 10:00,309.25
7/15/2022 11:00,338.25
7/15/2022 12:00,333.75
7/15/2022 13:00,346.5833333
7/15/2022 14:00,333.9166667
7/15/2022 15:00,314.1666667
7/15/2022 16:00,296.75
7/15/2022 17:00,291.8333333
7/15/2022 18:00,324.5833333
7/15/2022 19:00,359.5
7/15/2022 20:00,365.4166667
7/15/2022 21:00,371.6666667
7/15/2022 22:00,399.25
7/15/2022 23:00,393.3333333
7/16/2022 0:00,381
7/16/2022 1:00,367.8333333
7/16/2022 2:00,347.25
7/16/2022 3:00,326.1666667
7/16/2022 4:00,323.5
7/16/2022 5:00,289.2166667
7/16/2022 6:00,276.2833333
7/16/2022 7:00,289
7/16/2022 8:00,308.3333333
7/16/2022 9:00,340.75
7/16/2022 10:00,325.3333333
7/16/2022 11:00,315.8333333
7/16/2022 12:00,321.25
7/16/2022 13:00,316.4166667
7/16/2022 14:00,301.9166667
7/16/2022 15:00,277.1666667
7/16/2022 16:00,275.0833333
7/16/2022 17:00,264.5
7/16/2022 18:00,262.8083333
7/16/2022 19:00,300.5833333
7/16/2022 20:00,299.3333333
7/16/2022 21:00,315.25
7/16/2022 22:00,327.9166667
7/16/2022 23:00,322.25
7/17/2022 0:00,315.3333333
7/17/2022 1:00,307.5833333
7/17/2022 2:00,299.9166667
7/17/2022 3:00,290.4166667
7/17/2022 4:00,282.8333333
7/17/2022 5:00,242.8166667
7/17/2022 6:00,270.5833333
7/17/2022 7:00,260
7/17/2022 8:00,270.4166667
7/17/2022 9:00,287.3333333
7/17/2022 10:00,287.3333333
7/17/2022 11:00,308.6666667
7/17/2022 12:00,322.5
7/17/2022 13:00,324.9166667
7/17/2022 14:00,303.5833333
7/17/2022 15:00,284.1666667
7/17/2022 16:00,291.9166667
7/17/2022 17:00,300.8333333
7/17/2022 18:00,292.75
7/17/2022 19:00,324.8333333
7/17/2022 20:00,345.0833333
7/17/2022 21:00,343
7/17/2022 22:00,346.1666667
7/17/2022 23:00,323.8333333
7/18/2022 0:00,324.9166667
7/18/2022 1:00,315.5
7/18/2022 2:00,304.4166667
7/18/2022 3:00,292.9166667
7/18/2022 4:00,285.0833333
7/18/2022 5:00,254.9333333
7/18/2022 6:00,253.1666667
7/18/2022 7:00,243.9166667
7/18/2022 8:00,264.75
7/18/2022 9:00,299
7/18/2022 10:00,319.9166667
7/18/2022 11:00,308.75
7/18/2022 12:00,319.5
7/18/2022 13:00,328.3333333
7/18/2022 14:00,322.0833333
7/18/2022 15:00,293
7/18/2022 16:00,286.0833333
7/18/2022 17:00,294.5
7/18/2022 18:00,311.25
7/18/2022 19:00,323.5
7/18/2022 20:00,325.6666667
7/18/2022 21:00,342.4166667
7/18/2022 22:00,339.25
7/18/2022 23:00,331.3333333
7/19/2022 0:00,320.1666667
7/19/2022 1:00,311.75
7/19/2022 2:00,294.25
7/19/2022 3:00,281.4166667
7/19/2022 4:00,284.3333333
7/19/2022 5:00,249.75
7/19/2022 6:00,257
7/19/2022 7:00,269.3333333
7/19/2022 8:00,256.9166667
7/19/2022 9:00,297.75
7/19/2022 10:00,315.5833333
7/19/2022 11:00,287.425
7/19/2022 12:00,339.5
7/19/2022 13:00,334.5833333
7/19/2022 14:00,321
7/19/2022 15:00,300.6666667
7/19/2022 16:00,284.0833333
7/19/2022 17:00,293.5
7/19/2022 18:00,308.0833333
7/19/2022 19:00,342.25
7/19/2022 20:00,330.5833333
7/19/2022 21:00,345.8333333
7/19/2022 22:00,358.5
7/19/2022 23:00,343.5
7/20/2022 0:00,330.25
7/20/2022 1:00,316.6666667
7/20/2022 2:00,309.0833333
7/20/2022 3:00,297
7/20/2022 4:00,297.0833333
7/20/2022 5:00,292
7/20/2022 6:00,229.8583333
7/20/2022 7:00,272
7/20/2022 8:00,276.25
7/20/2022 9:00,285.6666667
7/20/2022 10:00,300.25
7/20/2022 11:00,317.5833333
7/20/2022 12:00,334.0833333
7/20/2022 13:00,328.3333333
7/20/2022 14:00,301.75
7/20/2022 15:00,270.8333333
7/20/2022 16:00,265
7/20/2022 17:00,275.8333333
7/20/2022 18:00,294.1666667
7/20/2022 19:00,322.0833333
7/20/2022 20:00,313.4166667
7/20/2022 21:00,316.4166667
7/20/2022 22:00,307.6666667
7/20/2022 23:00,301.8333333
