step,wall_time,ep_rew_mean,relative_seconds,relative_time
12000,1749655690.367281,-5375.00341796875,0.0,0:00:00
24000,1749655702.822411,-5227.06640625,12.455130100250244,0:00:12.455130
36000,1749655714.0785384,-5155.810546875,23.711257457733154,0:00:23.711257
48000,1749655725.932052,-5036.88623046875,35.56477093696594,0:00:35.564771
60000,1749655738.301626,-4956.80419921875,47.93434500694275,0:00:47.934345
72000,1749655750.1438684,-4929.3583984375,59.77658748626709,0:00:59.776587
84000,1749655761.9754665,-4681.69873046875,71.60818552970886,0:01:11.608186
96000,1749655773.810051,-4660.501953125,83.44277000427246,0:01:23.442770
108000,1749655785.6808097,-4509.3359375,95.31352877616882,0:01:35.313529
120000,1749655797.1688225,-4448.62939453125,106.80154156684875,0:01:46.801542
132000,1749655808.5311477,-4245.615234375,118.16386675834656,0:01:58.163867
144000,1749655821.559288,-4209.17822265625,131.19200706481934,0:02:11.192007
156000,1749655833.7094924,-4048.49951171875,143.34221148490906,0:02:23.342211
168000,1749655845.6989202,-3856.888916015625,155.33163928985596,0:02:35.331639
180000,1749655857.704378,-3739.467041015625,167.33709692955017,0:02:47.337097
192000,1749655869.6047938,-3470.300048828125,179.23751282691956,0:02:59.237513
204000,1749655881.5473242,-3341.287841796875,191.18004322052002,0:03:11.180043
216000,1749655893.3700964,-3168.408447265625,203.0028154850006,0:03:23.002815
228000,1749655904.899233,-2956.9794921875,214.53195214271545,0:03:34.531952
240000,1749655916.7761846,-2777.38671875,226.4089035987854,0:03:46.408904
252000,1749655928.5985274,-2591.586181640625,238.23124647140503,0:03:58.231246
264000,1749655940.4263422,-2520.10009765625,250.05906128883362,0:04:10.059061
276000,1749655952.2963278,-2252.10400390625,261.92904686927795,0:04:21.929047
288000,1749655964.155541,-2005.898681640625,273.78825998306274,0:04:33.788260
300000,1749655976.0468924,-1844.640869140625,285.67961144447327,0:04:45.679611
312000,1749655987.358212,-1623.667236328125,296.99093103408813,0:04:56.990931
324000,1749655998.9930367,-1484.272705078125,308.62575578689575,0:05:08.625756
336000,1749656010.8219948,-1262.740966796875,320.45471382141113,0:05:20.454714
348000,1749656022.5931478,-1147.3341064453125,332.2258667945862,0:05:32.225867
360000,1749656034.3542135,-926.2247924804688,343.986932516098,0:05:43.986933
372000,1749656046.1585734,-809.438720703125,355.79129242897034,0:05:55.791292
384000,1749656057.9315298,-661.889404296875,367.5642488002777,0:06:07.564249
396000,1749656069.1523886,-496.77093505859375,378.78510761260986,0:06:18.785108
408000,1749656080.5382278,-372.2887268066406,390.17094683647156,0:06:30.170947
420000,1749656092.4438548,-257.1622009277344,402.07657384872437,0:06:42.076574
432000,1749656104.1626873,-161.20550537109375,413.79540634155273,0:06:53.795406
444000,1749656115.9268808,-109.31270599365234,425.5595998764038,0:07:05.559600
456000,1749656127.666617,-60.23322296142578,437.2993359565735,0:07:17.299336
468000,1749656139.3564155,-66.43045043945312,448.9891345500946,0:07:28.989135
480000,1749656150.529141,-43.01206588745117,460.16185998916626,0:07:40.161860
492000,1749656161.9599864,-51.560035705566406,471.59270548820496,0:07:51.592705
504000,1749656173.9436295,-53.88157653808594,483.5763485431671,0:08:03.576349
516000,1749656185.8363466,-52.83938217163086,495.46906566619873,0:08:15.469066
528000,1749656198.6775615,-37.05296325683594,508.31028056144714,0:08:28.310281
540000,1749656210.6373672,-41.81728744506836,520.2700862884521,0:08:40.270086
552000,1749656222.374676,-40.29523849487305,532.007395029068,0:08:52.007395
564000,1749656233.8445153,-35.18507385253906,543.4772343635559,0:09:03.477234
576000,1749656245.1575248,-37.61366271972656,554.7902438640594,0:09:14.790244
588000,1749656256.8675234,-30.489662170410156,566.500242471695,0:09:26.500242
600000,1749656268.7087183,-41.025001525878906,578.3414373397827,0:09:38.341437
612000,1749656280.5681748,-45.309959411621094,590.2008938789368,0:09:50.200894
624000,1749656292.4468572,-32.27671813964844,602.079576253891,0:10:02.079576
636000,1749656304.3432403,-43.79266357421875,613.9759593009949,0:10:13.975959
648000,1749656316.0774584,-29.35849380493164,625.7101774215698,0:10:25.710177
660000,1749656327.326318,-29.854856491088867,636.959037065506,0:10:36.959037
672000,1749656338.9858265,-32.86613845825195,648.6185455322266,0:10:48.618546
684000,1749656350.7603657,-40.685699462890625,660.3930847644806,0:11:00.393085
696000,1749656362.5212767,-31.892274856567383,672.1539957523346,0:11:12.153996
708000,1749656374.3185315,-36.10032653808594,683.9512505531311,0:11:23.951251
720000,1749656386.0805554,-28.837949752807617,695.7132744789124,0:11:35.713274
732000,1749656397.835763,-26.835527420043945,707.4684820175171,0:11:47.468482
744000,1749656408.8934252,-29.016820907592773,718.5261442661285,0:11:58.526144
756000,1749656420.5557778,-29.682430267333984,730.1884968280792,0:12:10.188497
768000,1749656434.8581123,-36.52146911621094,744.4908313751221,0:12:24.490831
780000,1749656446.7992141,-33.092193603515625,756.4319331645966,0:12:36.431933
792000,1749656458.6221488,-36.46373748779297,768.2548677921295,0:12:48.254868
