step,wall_time,ep_len_mean,relative_seconds,relative_time
12000,1749731676.4150894,24.0,0.0,0:00:00
24000,1749731690.030667,24.0,13.615577697753906,0:00:13.615578
36000,1749731710.165255,24.0,33.750165700912476,0:00:33.750166
48000,1749731725.0585504,24.0,48.64346098899841,0:00:48.643461
60000,1749731739.91067,24.0,63.49558067321777,0:01:03.495581
72000,1749731753.5240684,24.0,77.10897898674011,0:01:17.108979
84000,1749731767.2648666,24.0,90.84977722167969,0:01:30.849777
96000,1749731781.062818,24.0,104.64772868156433,0:01:44.647729
108000,1749731794.7525928,24.0,118.33750343322754,0:01:58.337503
120000,1749731808.7316017,24.0,132.3165123462677,0:02:12.316512
132000,1749731822.5773191,24.0,146.16222977638245,0:02:26.162230
144000,1749731836.3277109,24.0,159.9126214981079,0:02:39.912621
156000,1749731850.2529378,24.0,173.8378484249115,0:02:53.837848
168000,1749731864.049394,24.0,187.63430452346802,0:03:07.634305
180000,1749731877.88431,24.0,201.46922063827515,0:03:21.469221
192000,1749731891.5593064,24.0,215.14421701431274,0:03:35.144217
204000,1749731905.2197707,24.0,228.80468130111694,0:03:48.804681
216000,1749731918.9540482,24.0,242.5389587879181,0:04:02.538959
228000,1749731932.5010684,24.0,256.08597898483276,0:04:16.085979
240000,1749731945.9498992,24.0,269.53480982780457,0:04:29.534810
252000,1749731959.4444818,24.0,283.0293924808502,0:04:43.029392
264000,1749731973.0920463,24.0,296.67695689201355,0:04:56.676957
276000,1749731987.3596952,24.0,310.94460582733154,0:05:10.944606
288000,1749732001.0026727,24.0,324.58758330345154,0:05:24.587583
300000,1749732014.6020477,24.0,338.1869583129883,0:05:38.186958
312000,1749732028.3132708,24.0,351.89818143844604,0:05:51.898181
324000,1749732042.0053604,24.0,365.59027099609375,0:06:05.590271
336000,1749732055.5720136,24.0,379.1569242477417,0:06:19.156924
348000,1749732069.1022582,24.0,392.6871688365936,0:06:32.687169
360000,1749732088.0829058,24.0,411.66781640052795,0:06:51.667816
372000,1749732103.3072898,24.0,426.8922004699707,0:07:06.892200
384000,1749732116.9507897,24.0,440.5357003211975,0:07:20.535700
396000,1749732130.7021153,24.0,454.2870259284973,0:07:34.287026
408000,1749732144.2701805,24.0,467.8550910949707,0:07:47.855091
420000,1749732157.8531911,24.0,481.43810176849365,0:08:01.438102
432000,1749732171.4233525,24.0,495.0082631111145,0:08:15.008263
444000,1749732185.489052,24.0,509.07396268844604,0:08:29.073963
456000,1749732199.164751,24.0,522.7496616840363,0:08:42.749662
468000,1749732212.9548416,24.0,536.5397522449493,0:08:56.539752
480000,1749732228.0479162,24.0,551.6328268051147,0:09:11.632827
492000,1749732241.5814528,24.0,565.1663634777069,0:09:25.166363
504000,1749732255.3684335,24.0,578.9533441066742,0:09:38.953344
516000,1749732268.9392905,24.0,592.5242011547089,0:09:52.524201
528000,1749732282.4881272,24.0,606.0730378627777,0:10:06.073038
540000,1749732296.1065485,24.0,619.6914591789246,0:10:19.691459
552000,1749732309.8243585,24.0,633.4092690944672,0:10:33.409269
564000,1749732323.4693348,24.0,647.0542454719543,0:10:47.054245
576000,1749732337.3069696,24.0,660.891880273819,0:11:00.891880
588000,1749732351.2325602,24.0,674.8174707889557,0:11:14.817471
600000,1749732365.426316,24.0,689.0112266540527,0:11:29.011227
612000,1749732379.723315,24.0,703.3082256317139,0:11:43.308226
624000,1749732393.9238138,24.0,717.5087244510651,0:11:57.508724
636000,1749732407.7682385,24.0,731.3531491756439,0:12:11.353149
648000,1749732421.3568122,24.0,744.941722869873,0:12:24.941723
660000,1749732434.9126265,24.0,758.4975371360779,0:12:38.497537
672000,1749732448.4561775,24.0,772.041088104248,0:12:52.041088
684000,1749732461.9510336,24.0,785.5359442234039,0:13:05.535944
696000,1749732475.3767405,24.0,798.9616510868073,0:13:18.961651
708000,1749732489.0546982,24.0,812.6396088600159,0:13:32.639609
720000,1749732502.5624883,24.0,826.1473989486694,0:13:46.147399
732000,1749732516.1219192,24.0,839.7068297863007,0:13:59.706830
744000,1749732529.6289396,24.0,853.2138502597809,0:14:13.213850
756000,1749732543.1014428,24.0,866.6863534450531,0:14:26.686353
768000,1749732556.5809462,24.0,880.1658568382263,0:14:40.165857
780000,1749732570.0451927,24.0,893.6301033496857,0:14:53.630103
792000,1749732583.4150486,24.0,906.999959230423,0:15:06.999959
804000,1749732596.7622597,24.0,920.3471703529358,0:15:20.347170
816000,1749732610.0373163,24.0,933.6222269535065,0:15:33.622227
828000,1749732623.4506986,24.0,947.0356092453003,0:15:47.035609
840000,1749732636.9267397,24.0,960.5116503238678,0:16:00.511650
852000,1749732650.4195971,24.0,974.0045077800751,0:16:14.004508
864000,1749732663.9406784,24.0,987.5255889892578,0:16:27.525589
876000,1749732677.613373,24.0,1001.1982836723328,0:16:41.198284
888000,1749732696.8083313,24.0,1020.3932418823242,0:17:00.393242
900000,1749732709.8995273,24.0,1033.4844379425049,0:17:13.484438
912000,1749732723.2405186,24.0,1046.825429201126,0:17:26.825429
924000,1749732736.6937816,24.0,1060.2786922454834,0:17:40.278692
936000,1749732750.0255554,24.0,1073.610466003418,0:17:53.610466
948000,1749732763.457752,24.0,1087.0426626205444,0:18:07.042663
960000,1749732776.9857836,24.0,1100.5706942081451,0:18:20.570694
972000,1749732790.47913,24.0,1114.0640406608582,0:18:34.064041
984000,1749732803.9142518,24.0,1127.4991624355316,0:18:47.499162
996000,1749732817.2149549,24.0,1140.7998654842377,0:19:00.799865
1008000,1749732830.4681995,24.0,1154.0531101226807,0:19:14.053110
1020000,1749732843.7898357,24.0,1167.3747463226318,0:19:27.374746
1032000,1749732857.1296058,24.0,1180.714516401291,0:19:40.714516
1044000,1749732870.4214323,24.0,1194.0063428878784,0:19:54.006343
