step,wall_time,train_entropy_loss,relative_seconds,relative_time
24000,1749731689.9139957,-9.932826042175293,0.0,0:00:00
36000,1749731709.9375799,-9.933716773986816,20.023584127426147,0:00:20.023584
48000,1749731724.8591166,-9.934354782104492,34.9451208114624,0:00:34.945121
60000,1749731739.6939316,-9.934454917907715,49.77993583679199,0:00:49.779936
72000,1749731753.3017914,-9.934370994567871,63.3877956867218,0:01:03.387796
84000,1749731767.0501297,-9.934226989746094,77.13613390922546,0:01:17.136134
96000,1749731780.8611622,-9.93424129486084,90.9471664428711,0:01:30.947166
108000,1749731794.5584812,-9.93302059173584,104.64448547363281,0:01:44.644485
120000,1749731808.5207596,-9.931593894958496,118.60676383972168,0:01:58.606764
132000,1749731822.3652623,-9.931827545166016,132.4512665271759,0:02:12.451267
144000,1749731836.1989863,-9.933267593383789,146.28499054908752,0:02:26.284991
156000,1749731850.1126697,-9.93476390838623,160.19867396354675,0:02:40.198674
168000,1749731863.9237666,-9.93521499633789,174.00977087020874,0:02:54.009771
180000,1749731877.7645364,-9.934493064880371,187.85054063796997,0:03:07.850541
192000,1749731891.4381778,-9.931846618652344,201.52418208122253,0:03:21.524182
204000,1749731905.0807738,-9.930028915405273,215.16677808761597,0:03:35.166778
216000,1749731918.8171723,-9.928994178771973,228.9031765460968,0:03:48.903177
228000,1749731932.3841062,-9.927732467651367,242.47011041641235,0:04:02.470110
240000,1749731945.8301837,-9.927435874938965,255.9161880016327,0:04:15.916188
252000,1749731959.3277636,-9.926002502441406,269.41376781463623,0:04:29.413768
264000,1749731972.9745247,-9.922155380249023,283.06052899360657,0:04:43.060529
276000,1749731987.2451081,-9.919075965881348,297.33111238479614,0:04:57.331112
288000,1749732000.88719,-9.915867805480957,310.97319436073303,0:05:10.973194
300000,1749732014.475169,-9.913275718688965,324.5611732006073,0:05:24.561173
312000,1749732028.190396,-9.908401489257812,338.2764003276825,0:05:38.276400
324000,1749732041.9088736,-9.899807929992676,351.9948778152466,0:05:51.994878
336000,1749732055.4503014,-9.89188289642334,365.53630566596985,0:06:05.536306
348000,1749732069.0013936,-9.881732940673828,379.087397813797,0:06:19.087398
360000,1749732087.9830885,-9.870945930480957,398.0690927505493,0:06:38.069093
372000,1749732103.180511,-9.860923767089844,413.26651525497437,0:06:53.266515
384000,1749732116.83183,-9.847254753112793,426.9178342819214,0:07:06.917834
396000,1749732130.5931895,-9.832660675048828,440.6791937351227,0:07:20.679194
408000,1749732144.1723957,-9.815995216369629,454.2583999633789,0:07:34.258400
420000,1749732157.756849,-9.798029899597168,467.842853307724,0:07:47.842853
432000,1749732171.3217163,-9.779046058654785,481.4077205657959,0:08:01.407721
444000,1749732185.3906755,-9.754497528076172,495.4766798019409,0:08:15.476680
456000,1749732199.0675845,-9.724075317382812,509.15358877182007,0:08:29.153589
468000,1749732212.8549902,-9.68777084350586,522.9409945011139,0:08:42.940995
480000,1749732227.8111987,-9.641979217529297,537.8972029685974,0:08:57.897203
492000,1749732241.4811635,-9.585814476013184,551.5671677589417,0:09:11.567168
504000,1749732255.1879609,-9.51288890838623,565.2739651203156,0:09:25.273965
516000,1749732268.7530975,-9.429581642150879,578.8391017913818,0:09:38.839102
528000,1749732282.308985,-9.334552764892578,592.3949892520905,0:09:52.394989
540000,1749732295.9258256,-9.21381664276123,606.0118298530579,0:10:06.011830
552000,1749732309.6492407,-9.11508846282959,619.7352449893951,0:10:19.735245
564000,1749732323.291338,-9.053546905517578,633.3773422241211,0:10:33.377342
576000,1749732337.1267924,-9.048257827758789,647.2127966880798,0:10:47.212797
588000,1749732351.109097,-9.053268432617188,661.1951012611389,0:11:01.195101
600000,1749732365.3087277,-9.051164627075195,675.3947319984436,0:11:15.394732
612000,1749732379.6251078,-9.047189712524414,689.7111120223999,0:11:29.711112
624000,1749732393.820701,-9.038945198059082,703.9067051410675,0:11:43.906705
