step,wall_time,train_explained_variance,relative_seconds,relative_time
24000,1749731689.914009,1.9669532775878906e-05,0.0,0:00:00
36000,1749731709.9375987,-6.794929504394531e-06,20.023589611053467,0:00:20.023590
48000,1749731724.8591342,-1.0728836059570312e-06,34.945125102996826,0:00:34.945125
60000,1749731739.6939504,-2.384185791015625e-07,49.77994132041931,0:00:49.779941
72000,1749731753.3018138,1.7881393432617188e-07,63.38780474662781,0:01:03.387805
84000,1749731767.0501492,1.1920928955078125e-07,77.13614010810852,0:01:17.136140
96000,1749731780.8611808,1.1920928955078125e-07,90.94717168807983,0:01:30.947172
108000,1749731794.5585,2.384185791015625e-07,104.64449095726013,0:01:44.644491
120000,1749731808.520778,2.384185791015625e-07,118.60676884651184,0:01:58.606769
132000,1749731822.3652813,1.1920928955078125e-07,132.4512722492218,0:02:12.451272
144000,1749731836.1990054,5.960464477539063e-08,146.28499627113342,0:02:26.284996
156000,1749731850.1126893,5.960464477539063e-08,160.1986801624298,0:02:40.198680
168000,1749731863.9237885,0.0,174.0097794532776,0:02:54.009779
180000,1749731877.7645535,1.1920928955078125e-07,187.85054445266724,0:03:07.850544
192000,1749731891.4381893,0.0,201.5241801738739,0:03:21.524180
204000,1749731905.080786,0.0,215.16677689552307,0:03:35.166777
216000,1749731918.817184,0.0,228.90317487716675,0:03:48.903175
228000,1749731932.3841183,0.0,242.47010922431946,0:04:02.470109
240000,1749731945.830196,0.0,255.9161868095398,0:04:15.916187
252000,1749731959.3277829,2.384185791015625e-07,269.4137737751007,0:04:29.413774
264000,1749731972.9745426,1.1920928955078125e-07,283.06053352355957,0:04:43.060534
276000,1749731987.2451203,5.960464477539063e-08,297.33111119270325,0:04:57.331111
288000,1749732000.887202,0.0,310.97319293022156,0:05:10.973193
300000,1749732014.4751875,5.960464477539063e-08,324.56117844581604,0:05:24.561178
312000,1749732028.190408,0.0,338.276398897171,0:05:38.276399
324000,1749732041.908886,0.0,351.99487686157227,0:05:51.994877
336000,1749732055.450322,0.0,365.5363128185272,0:06:05.536313
348000,1749732069.001573,0.0,379.08756399154663,0:06:19.087564
360000,1749732087.9830997,0.0,398.0690906047821,0:06:38.069091
372000,1749732103.1805356,1.1920928955078125e-07,413.2665264606476,0:06:53.266526
