step,wall_time,train_learning_rate,relative_seconds,relative_time
24000,1749731689.9140217,9.999999747378752e-05,0.0,0:00:00
36000,1749731709.937617,9.999999747378752e-05,20.023595333099365,0:00:20.023595
48000,1749731724.8591518,9.999999747378752e-05,34.94513010978699,0:00:34.945130
60000,1749731739.693969,9.999999747378752e-05,49.77994728088379,0:00:49.779947
72000,1749731753.3018327,9.999999747378752e-05,63.387810945510864,0:01:03.387811
84000,1749731767.0501676,9.999999747378752e-05,77.13614583015442,0:01:17.136146
96000,1749731780.8611987,9.999999747378752e-05,90.94717693328857,0:01:30.947177
108000,1749731794.558518,9.999999747378752e-05,104.64449620246887,0:01:44.644496
120000,1749731808.520796,9.999999747378752e-05,118.60677433013916,0:01:58.606774
132000,1749731822.3652954,9.999999747378752e-05,132.45127367973328,0:02:12.451274
144000,1749731836.1990228,9.999999747378752e-05,146.285001039505,0:02:26.285001
156000,1749731850.1127079,9.999999747378752e-05,160.1986861228943,0:02:40.198686
168000,1749731863.9238102,9.999999747378752e-05,174.0097885131836,0:02:54.009789
180000,1749731877.7645655,9.999999747378752e-05,187.8505437374115,0:03:07.850544
192000,1749731891.4382014,9.999999747378752e-05,201.52417969703674,0:03:21.524180
204000,1749731905.0807977,9.999999747378752e-05,215.16677594184875,0:03:35.166776
216000,1749731918.8171968,9.999999747378752e-05,228.90317511558533,0:03:48.903175
228000,1749731932.3841298,9.999999747378752e-05,242.47010803222656,0:04:02.470108
240000,1749731945.8302078,9.999999747378752e-05,255.91618609428406,0:04:15.916186
252000,1749731959.3278043,9.999999747378752e-05,269.41378259658813,0:04:29.413783
264000,1749731972.97456,9.999999747378752e-05,283.06053829193115,0:04:43.060538
276000,1749731987.2451315,9.999999747378752e-05,297.3311097621918,0:04:57.331110
288000,1749732000.8872144,9.999999747378752e-05,310.973192691803,0:05:10.973193
300000,1749732014.475205,9.999999747378752e-05,324.5611832141876,0:05:24.561183
312000,1749732028.19042,9.999999747378752e-05,338.2763981819153,0:05:38.276398
324000,1749732041.9088984,9.999999747378752e-05,351.9948766231537,0:05:51.994877
336000,1749732055.4503415,9.999999747378752e-05,365.536319732666,0:06:05.536320
348000,1749732069.0016215,9.999999747378752e-05,379.0875997543335,0:06:19.087600
360000,1749732087.9831116,9.999999747378752e-05,398.06908988952637,0:06:38.069090
372000,1749732103.1805563,9.999999747378752e-05,413.2665345668793,0:06:53.266535
384000,1749732116.8318539,9.999999747378752e-05,426.9178321361542,0:07:06.917832
396000,1749732130.5932207,9.999999747378752e-05,440.6791989803314,0:07:20.679199
408000,1749732144.1724186,9.999999747378752e-05,454.2583968639374,0:07:34.258397
420000,1749732157.7568917,9.999999747378752e-05,467.84286999702454,0:07:47.842870
432000,1749732171.3217397,9.999999747378752e-05,481.4077179431915,0:08:01.407718
444000,1749732185.3906991,9.999999747378752e-05,495.4766774177551,0:08:15.476677
456000,1749732199.067608,9.999999747378752e-05,509.1535863876343,0:08:29.153586
468000,1749732212.8550146,9.999999747378752e-05,522.9409928321838,0:08:42.940993
480000,1749732227.811234,9.999999747378752e-05,537.897212266922,0:08:57.897212
492000,1749732241.4811873,9.999999747378752e-05,551.5671656131744,0:09:11.567166
504000,1749732255.188002,9.999999747378752e-05,565.2739803791046,0:09:25.273980
516000,1749732268.7531395,9.999999747378752e-05,578.8391177654266,0:09:38.839118
528000,1749732282.3090215,9.999999747378752e-05,592.3949997425079,0:09:52.395000
540000,1749732295.9258823,9.999999747378752e-05,606.0118606090546,0:10:06.011861
552000,1749732309.6492815,9.999999747378752e-05,619.735259771347,0:10:19.735260
564000,1749732323.2913754,9.999999747378752e-05,633.3773536682129,0:10:33.377354
576000,1749732337.1268282,9.999999747378752e-05,647.2128064632416,0:10:47.212806
588000,1749732351.1091373,9.999999747378752e-05,661.1951155662537,0:11:01.195116
600000,1749732365.308751,9.999999747378752e-05,675.3947293758392,0:11:15.394729
612000,1749732379.6251323,9.999999747378752e-05,689.7111105918884,0:11:29.711111
624000,1749732393.8207417,9.999999747378752e-05,703.9067199230194,0:11:43.906720
636000,1749732407.6501346,9.999999747378752e-05,717.7361128330231,0:11:57.736113
648000,1749732421.2581832,9.999999747378752e-05,731.3441615104675,0:12:11.344162
660000,1749732434.809551,9.999999747378752e-05,744.8955292701721,0:12:24.895529
672000,1749732448.3570435,9.999999747378752e-05,758.443021774292,0:12:38.443022
684000,1749732461.8518512,9.999999747378752e-05,771.9378294944763,0:12:51.937829
696000,1749732475.2598372,9.999999747378752e-05,785.3458154201508,0:13:05.345815
708000,1749732488.9388514,9.999999747378752e-05,799.0248296260834,0:13:19.024830
720000,1749732502.4612393,9.999999747378752e-05,812.5472176074982,0:13:32.547218
732000,1749732516.022042,9.999999747378752e-05,826.1080203056335,0:13:46.108020
744000,1749732529.5250902,9.999999747378752e-05,839.6110684871674,0:13:59.611068
756000,1749732543.0050821,9.999999747378752e-05,853.0910604000092,0:14:13.091060
768000,1749732556.4575856,9.999999747378752e-05,866.5435638427734,0:14:26.543564
780000,1749732569.949575,9.999999747378752e-05,880.0355532169342,0:14:40.035553
792000,1749732583.3194964,9.999999747378752e-05,893.4054746627808,0:14:53.405475
804000,1749732596.578889,9.999999747378752e-05,906.6648671627045,0:15:06.664867
816000,1749732609.8572633,9.999999747378752e-05,919.9432415962219,0:15:19.943242
828000,1749732623.263252,9.999999747378752e-05,933.3492302894592,0:15:33.349230
840000,1749732636.747767,9.999999747378752e-05,946.8337452411652,0:15:46.833745
852000,1749732650.2317417,9.999999747378752e-05,960.3177199363708,0:16:00.317720
864000,1749732663.8220727,9.999999747378752e-05,973.9080510139465,0:16:13.908051
876000,1749732677.4873116,9.999999747378752e-05,987.5732898712158,0:16:27.573290
888000,1749732696.6267848,9.999999747378752e-05,1006.7127630710602,0:16:46.712763
900000,1749732709.7226202,9.999999747378752e-05,1019.8085985183716,0:16:59.808599
912000,1749732723.0576015,9.999999747378752e-05,1033.1435797214508,0:17:13.143580
924000,1749732736.508964,9.999999747378752e-05,1046.594942331314,0:17:26.594942
936000,1749732749.83314,9.999999747378752e-05,1059.9191181659698,0:17:39.919118
948000,1749732763.358695,9.999999747378752e-05,1073.4446732997894,0:17:53.444673
960000,1749732776.8889003,9.999999747378752e-05,1086.9748785495758,0:18:06.974879
972000,1749732790.3814983,9.999999747378752e-05,1100.467476606369,0:18:20.467477
984000,1749732803.8133118,9.999999747378752e-05,1113.8992900848389,0:18:33.899290
996000,1749732817.1184328,9.999999747378752e-05,1127.2044110298157,0:18:47.204411
1008000,1749732830.3709185,9.999999747378752e-05,1140.4568967819214,0:19:00.456897
1020000,1749732843.6894355,9.999999747378752e-05,1153.7754137516022,0:19:13.775414
1032000,1749732857.0326397,9.999999747378752e-05,1167.1186180114746,0:19:27.118618
1044000,1749732870.3257298,9.999999747378752e-05,1180.4117081165314,0:19:40.411708
1056000,1749732883.739366,9.999999747378752e-05,1193.825344324112,0:19:53.825344
1068000,1749732897.0973809,9.999999747378752e-05,1207.1833591461182,0:20:07.183359
1080000,1749732910.4775834,9.999999747378752e-05,1220.5635616779327,0:20:20.563562
1092000,1749732923.8346362,9.999999747378752e-05,1233.9206144809723,0:20:33.920614
1104000,1749732937.0959842,9.999999747378752e-05,1247.1819624900818,0:20:47.181962
1116000,1749732950.7377167,9.999999747378752e-05,1260.8236949443817,0:21:00.823695
1128000,1749732964.1961448,9.999999747378752e-05,1274.2821230888367,0:21:14.282123
1140000,1749732977.667976,9.999999747378752e-05,1287.7539541721344,0:21:27.753954
1152000,1749732991.135373,9.999999747378752e-05,1301.2213513851166,0:21:41.221351
1164000,1749733004.664767,9.999999747378752e-05,1314.7507452964783,0:21:54.750745
1176000,1749733018.2339737,9.999999747378752e-05,1328.3199520111084,0:22:08.319952
1188000,1749733031.8233864,9.999999747378752e-05,1341.9093647003174,0:22:21.909365
1200000,1749733045.2031283,9.999999747378752e-05,1355.2891066074371,0:22:35.289107
1212000,1749733058.5917099,9.999999747378752e-05,1368.6776881217957,0:22:48.677688
1224000,1749733071.9962492,9.999999747378752e-05,1382.0822274684906,0:23:02.082227
1236000,1749733085.5393062,9.999999747378752e-05,1395.6252844333649,0:23:15.625284
1248000,1749733099.0581949,9.999999747378752e-05,1409.1441731452942,0:23:29.144173
1260000,1749733112.3980877,9.999999747378752e-05,1422.4840660095215,0:23:42.484066
1272000,1749733126.001645,9.999999747378752e-05,1436.0876233577728,0:23:56.087623
1284000,1749733139.3837335,9.999999747378752e-05,1449.469711780548,0:24:09.469712
1296000,1749733152.775045,9.999999747378752e-05,1462.8610231876373,0:24:22.861023
1308000,1749733166.1217563,9.999999747378752e-05,1476.2077345848083,0:24:36.207735
1320000,1749733179.548103,9.999999747378752e-05,1489.634081363678,0:24:49.634081
1332000,1749733193.0779102,9.999999747378752e-05,1503.1638884544373,0:25:03.163888
1344000,1749733206.343411,9.999999747378752e-05,1516.4293892383575,0:25:16.429389
1356000,1749733219.9962244,9.999999747378752e-05,1530.0822026729584,0:25:30.082203
1368000,1749733233.6679823,9.999999747378752e-05,1543.753960609436,0:25:43.753961
1380000,1749733247.3984568,9.999999747378752e-05,1557.484435081482,0:25:57.484435
1392000,1749733261.076188,9.999999747378752e-05,1571.1621663570404,0:26:11.162166
1404000,1749733274.8830845,9.999999747378752e-05,1584.9690628051758,0:26:24.969063
1416000,1749733288.5877643,9.999999747378752e-05,1598.67374253273,0:26:38.673743
1428000,1749733306.9411564,9.999999747378752e-05,1617.0271346569061,0:26:57.027135
1440000,1749733320.4099054,9.999999747378752e-05,1630.4958837032318,0:27:10.495884
1452000,1749733334.3132582,9.999999747378752e-05,1644.3992364406586,0:27:24.399236
1464000,1749733348.1555147,9.999999747378752e-05,1658.241492986679,0:27:38.241493
1476000,1749733362.021077,9.999999747378752e-05,1672.1070551872253,0:27:52.107055
1488000,1749733375.9152417,9.999999747378752e-05,1686.0012199878693,0:28:06.001220
1500000,1749733389.8903437,9.999999747378752e-05,1699.9763219356537,0:28:19.976322
1512000,1749733403.8087747,9.999999747378752e-05,1713.8947529792786,0:28:33.894753
1524000,1749733417.7388082,9.999999747378752e-05,1727.8247864246368,0:28:47.824786
1536000,1749733431.655173,9.999999747378752e-05,1741.7411513328552,0:29:01.741151
1548000,1749733445.3150115,9.999999747378752e-05,1755.4009897708893,0:29:15.400990
1560000,1749733458.9337854,9.999999747378752e-05,1769.0197637081146,0:29:29.019764
1572000,1749733472.4930751,9.999999747378752e-05,1782.579053401947,0:29:42.579053
1584000,1749733486.1167927,9.999999747378752e-05,1796.20277094841,0:29:56.202771
1596000,1749733499.7659307,9.999999747378752e-05,1809.8519089221954,0:30:09.851909
1608000,1749733514.1338332,9.999999747378752e-05,1824.2198114395142,0:30:24.219811
1620000,1749733528.0534346,9.999999747378752e-05,1838.1394128799438,0:30:38.139413
