step,wall_time,train_loss,relative_seconds,relative_time
24000,1749731689.9140337,8831703.0,0.0,0:00:00
36000,1749731709.937636,8171224.5,20.02360224723816,0:00:20.023602
48000,1749731724.8591695,8063245.5,34.945135831832886,0:00:34.945136
60000,1749731739.6939876,7667015.0,49.779953956604004,0:00:49.779954
72000,1749731753.301852,7287586.0,63.387818336486816,0:01:03.387818
84000,1749731767.050186,7380809.5,77.13615226745605,0:01:17.136152
96000,1749731780.8612165,6690859.5,90.94718289375305,0:01:30.947183
108000,1749731794.5585349,6605888.5,104.64450120925903,0:01:44.644501
120000,1749731808.5208151,6256051.0,118.60678148269653,0:01:58.606781
132000,1749731822.365307,6022695.5,132.4512734413147,0:02:12.451273
144000,1749731836.1990397,5962792.0,146.28500604629517,0:02:26.285006
156000,1749731850.1127253,5585002.5,160.1986916065216,0:02:40.198692
168000,1749731863.9238307,5198118.0,174.00979709625244,0:02:54.009797
180000,1749731877.7645867,4903468.5,187.85055303573608,0:03:07.850553
192000,1749731891.4382126,4888019.0,201.524178981781,0:03:21.524179
204000,1749731905.0808089,4511169.5,215.16677522659302,0:03:35.166775
216000,1749731918.8172095,4053492.5,228.90317583084106,0:03:48.903176
228000,1749731932.3841407,3997420.0,242.47010707855225,0:04:02.470107
240000,1749731945.8302193,3464110.25,255.9161856174469,0:04:15.916186
252000,1749731959.327823,3127738.25,269.41378927230835,0:04:29.413789
264000,1749731972.9745717,3149275.75,283.0605380535126,0:04:43.060538
276000,1749731987.2451425,2877239.25,297.33110880851746,0:04:57.331109
288000,1749732000.8872259,2545460.5,310.9731922149658,0:05:10.973192
300000,1749732014.4752212,2249547.75,324.56118750572205,0:05:24.561188
312000,1749732028.190431,2097253.0,338.27639746665955,0:05:38.276397
324000,1749732041.9089103,1659218.5,351.9948766231537,0:05:51.994877
336000,1749732055.4503598,1540247.625,365.53632616996765,0:06:05.536326
348000,1749732069.0016503,1364349.375,379.0876166820526,0:06:19.087617
360000,1749732087.9831233,1106234.25,398.0690896511078,0:06:38.069090
372000,1749732103.1805794,885034.1875,413.2665457725525,0:06:53.266546
384000,1749732116.8318655,764339.6875,426.9178318977356,0:07:06.917832
396000,1749732130.5932326,603348.625,440.6791989803314,0:07:20.679199
408000,1749732144.1724303,483011.3125,454.2583966255188,0:07:34.258397
420000,1749732157.7569127,407469.3125,467.84287905693054,0:07:47.842879
432000,1749732171.3217514,281786.96875,481.40771770477295,0:08:01.407718
444000,1749732185.3907113,213950.390625,495.4766776561737,0:08:15.476678
456000,1749732199.0676193,162216.265625,509.15358567237854,0:08:29.153586
468000,1749732212.855026,113528.5703125,522.9409923553467,0:08:42.940992
