step,wall_time,train_value_loss,relative_seconds,relative_time
24000,1749731689.9145296,16761341.0,0.0,0:00:00
36000,1749731709.9392645,16240689.0,20.02473497390747,0:00:20.024735
48000,1749731724.859992,15729419.0,34.945462465286255,0:00:34.945462
60000,1749731739.6946127,15309256.0,49.78008317947388,0:00:49.780083
72000,1749731753.3029783,14733286.0,63.38844871520996,0:01:03.388449
84000,1749731767.050721,14490045.0,77.13619136810303,0:01:17.136191
96000,1749731780.861777,13732766.0,90.94724750518799,0:01:30.947248
108000,1749731794.5590158,13270994.0,104.64448618888855,0:01:44.644486
120000,1749731808.5216415,12850682.0,118.60711193084717,0:01:58.607112
132000,1749731822.3658028,12335718.0,132.45127320289612,0:02:12.451273
144000,1749731836.1995974,11760165.0,146.28506779670715,0:02:26.285068
156000,1749731850.113503,11170314.0,160.1989734172821,0:02:40.198973
168000,1749731863.924788,10566476.0,174.010258436203,0:02:54.010258
180000,1749731877.7653325,9955583.0,187.85080289840698,0:03:07.850803
192000,1749731891.4390168,9469233.0,201.52448725700378,0:03:21.524487
204000,1749731905.081807,8926407.0,215.1672773361206,0:03:35.167277
216000,1749731918.8182366,8494711.0,228.9037070274353,0:03:48.903707
228000,1749731932.3848596,7928745.5,242.4703299999237,0:04:02.470330
240000,1749731945.8309355,7161629.5,255.916405916214,0:04:15.916406
252000,1749731959.328583,6788270.5,269.414053440094,0:04:29.414053
264000,1749731972.9749823,6145617.5,283.06045269966125,0:04:43.060453
276000,1749731987.2458866,5700151.5,297.3313570022583,0:04:57.331357
288000,1749732000.887983,4995085.5,310.9734535217285,0:05:10.973454
300000,1749732014.4760208,4489292.0,324.5614912509918,0:05:24.561491
312000,1749732028.1913314,3979179.75,338.2768018245697,0:05:38.276802
324000,1749732041.9096465,3415487.25,351.9951169490814,0:05:51.995117
336000,1749732055.4511106,2993171.5,365.5365810394287,0:06:05.536581
348000,1749732069.0027623,2574510.75,379.088232755661,0:06:19.088233
360000,1749732087.9837313,2194627.25,398.06920170783997,0:06:38.069202
372000,1749732103.1816716,1797918.375,413.2671420574188,0:06:53.267142
