step,wall_time,ep_rew_mean,relative_seconds,relative_time
12000,1749953595.7261147,-6114.6611328125,0.0,0:00:00
24000,1749953612.2968216,-5937.10693359375,16.570706844329834,0:00:16.570707
36000,1749953629.328475,-5858.24365234375,33.602360248565674,0:00:33.602360
48000,1749953647.89993,-5700.732421875,52.17381525039673,0:00:52.173815
60000,1749953664.809207,-5618.84716796875,69.083092212677,0:01:09.083092
72000,1749953681.213058,-5580.17529296875,85.48694324493408,0:01:25.486943
84000,1749953697.4942982,-5325.873046875,101.76818346977234,0:01:41.768183
96000,1749953713.8907666,-5290.5341796875,118.16465187072754,0:01:58.164652
108000,1749953730.079169,-5135.72705078125,134.35305428504944,0:02:14.353054
120000,1749953746.544892,-5078.43212890625,150.81877732276917,0:02:30.818777
132000,1749953762.5036597,-4851.828125,166.77754497528076,0:02:46.777545
144000,1749953778.7958283,-4797.37353515625,183.0697135925293,0:03:03.069714
156000,1749953795.6198552,-4634.97802734375,199.89374041557312,0:03:19.893740
168000,1749953818.1613069,-4425.58740234375,222.4351921081543,0:03:42.435192
180000,1749953835.3360863,-4256.8134765625,239.6099715232849,0:03:59.609972
192000,1749953852.5054462,-3990.744140625,256.77933144569397,0:04:16.779331
204000,1749953869.521278,-3855.646728515625,273.79516315460205,0:04:33.795163
216000,1749953886.3947968,-3662.74169921875,290.6686820983887,0:04:50.668682
228000,1749953903.989624,-3445.098388671875,308.26350927352905,0:05:08.263509
240000,1749953921.6174135,-3272.927978515625,325.89129877090454,0:05:25.891299
252000,1749953938.8228533,-3057.09716796875,343.09673857688904,0:05:43.096739
264000,1749953955.8422866,-2976.654052734375,360.116171836853,0:06:00.116172
276000,1749953972.7186093,-2715.61181640625,376.9924945831299,0:06:16.992495
288000,1749953990.2981713,-2456.39794921875,394.5720565319061,0:06:34.572057
300000,1749954008.5172067,-2285.323974609375,412.7910919189453,0:06:52.791092
312000,1749954025.8746517,-2072.873291015625,430.1485369205475,0:07:10.148537
324000,1749954042.9913673,-1939.0841064453125,447.26525259017944,0:07:27.265253
336000,1749954060.0834913,-1720.890380859375,464.35737657546997,0:07:44.357377
348000,1749954077.4144917,-1622.997802734375,481.68837690353394,0:08:01.688377
360000,1749954095.190327,-1372.4786376953125,499.46421217918396,0:08:19.464212
372000,1749954113.2395365,-1269.1810302734375,517.5134217739105,0:08:37.513422
384000,1749954130.265642,-1091.76513671875,534.5395271778107,0:08:54.539527
396000,1749954147.4295068,-920.4141235351562,551.7033920288086,0:09:11.703392
408000,1749954164.3074887,-797.0845336914062,568.5813739299774,0:09:28.581374
420000,1749954180.9826703,-632.4135131835938,585.256555557251,0:09:45.256556
432000,1749954197.9286373,-483.1143798828125,602.2025225162506,0:10:02.202523
444000,1749954215.3948867,-397.6917419433594,619.668771982193,0:10:19.668772
456000,1749954232.6107168,-271.9521789550781,636.8846020698547,0:10:36.884602
468000,1749954249.157137,-210.07730102539062,653.4310221672058,0:10:53.431022
480000,1749954265.9692442,-118.33538055419922,670.243129491806,0:11:10.243129
492000,1749954293.9551208,-58.22982406616211,698.2290060520172,0:11:38.229006
504000,1749954311.325169,-48.7891731262207,715.5990543365479,0:11:55.599054
516000,1749954328.1530604,-47.056278228759766,732.4269456863403,0:12:12.426946
528000,1749954345.1577623,-32.86255645751953,749.4316475391388,0:12:29.431648
540000,1749954362.1129315,-40.74006271362305,766.386816740036,0:12:46.386817
552000,1749954379.2234814,-35.08390426635742,783.4973666667938,0:13:03.497367
564000,1749954397.179581,-38.171363830566406,801.4534661769867,0:13:21.453466
576000,1749954423.0260468,-33.7948112487793,827.2999320030212,0:13:47.299932
588000,1749954440.2823005,-26.42582893371582,844.5561857223511,0:14:04.556186
600000,1749954457.3651967,-37.34218978881836,861.639081954956,0:14:21.639082
612000,1749954474.4421303,-46.77626037597656,878.7160155773163,0:14:38.716016
624000,1749954492.2059083,-31.485618591308594,896.479793548584,0:14:56.479794
636000,1749954509.9249303,-35.10992431640625,914.1988155841827,0:15:14.198816
648000,1749954526.8681858,-34.68118667602539,931.1420710086823,0:15:31.142071
660000,1749954543.5586948,-22.41598129272461,947.8325800895691,0:15:47.832580
672000,1749954560.6234572,-36.58528518676758,964.8973424434662,0:16:04.897342
684000,1749954577.8291812,-33.62464141845703,982.103066444397,0:16:22.103066
696000,1749954595.2094615,-28.00429344177246,999.4833467006683,0:16:39.483347
708000,1749954612.9498563,-29.714771270751953,1017.2237415313721,0:16:57.223742
720000,1749954630.0664864,-39.38972091674805,1034.3403716087341,0:17:14.340372
732000,1749954647.1500094,-25.664459228515625,1051.4238946437836,0:17:31.423895
744000,1749954664.053439,-33.22085952758789,1068.3273241519928,0:17:48.327324
756000,1749954680.9700582,-32.35582733154297,1085.243943452835,0:18:05.243943
768000,1749954698.0077775,-28.87087059020996,1102.2816627025604,0:18:22.281663
780000,1749954716.1266747,-27.836095809936523,1120.4005599021912,0:18:40.400560
792000,1749954733.4232697,-31.98770523071289,1137.6971549987793,0:18:57.697155
804000,1749954750.3890111,-21.989660263061523,1154.6628963947296,0:19:14.662896
816000,1749954767.3563588,-21.431385040283203,1171.6302440166473,0:19:31.630244
828000,1749954784.3502302,-25.345666885375977,1188.6241154670715,0:19:48.624115
840000,1749954801.3929667,-30.704219818115234,1205.6668519973755,0:20:05.666852
852000,1749954819.4797468,-31.955476760864258,1223.753632068634,0:20:23.753632
864000,1749954837.1112223,-27.953977584838867,1241.3851075172424,0:20:41.385108
876000,1749954854.0763643,-23.455236434936523,1258.350249528885,0:20:58.350250
888000,1749954871.1862621,-20.519010543823242,1275.4601473808289,0:21:15.460147
900000,1749954888.0892334,-28.739856719970703,1292.363118648529,0:21:32.363119
912000,1749954905.1131988,-24.890016555786133,1309.3870840072632,0:21:49.387084
924000,1749954922.730286,-33.919593811035156,1327.0041711330414,0:22:07.004171
936000,1749954940.2680578,-25.590829849243164,1344.5419430732727,0:22:24.541943
948000,1749954957.1836908,-28.928321838378906,1361.4575760364532,0:22:41.457576
960000,1749954974.3036876,-23.267879486083984,1378.5775728225708,0:22:58.577573
972000,1749954991.348259,-23.399921417236328,1395.6221442222595,0:23:15.622144
