step,wall_time,ep_len_mean,relative_seconds,relative_time
12000,1749953595.7260127,24.0,0.0,0:00:00
24000,1749953612.2967331,24.0,16.570720434188843,0:00:16.570720
36000,1749953629.3283842,24.0,33.60237145423889,0:00:33.602371
48000,1749953647.8998466,24.0,52.1738338470459,0:00:52.173834
60000,1749953664.8091326,24.0,69.08311986923218,0:01:09.083120
72000,1749953681.2129395,24.0,85.48692679405212,0:01:25.486927
84000,1749953697.4942193,24.0,101.76820659637451,0:01:41.768207
96000,1749953713.8906827,24.0,118.16466999053955,0:01:58.164670
108000,1749953730.079092,24.0,134.35307931900024,0:02:14.353079
120000,1749953746.5448136,24.0,150.8188009262085,0:02:30.818801
132000,1749953762.5035574,24.0,166.77754473686218,0:02:46.777545
144000,1749953778.7957115,24.0,183.0696988105774,0:03:03.069699
156000,1749953795.6196976,24.0,199.8936848640442,0:03:19.893685
168000,1749953818.1612294,24.0,222.43521666526794,0:03:42.435217
180000,1749953835.3359585,24.0,239.60994577407837,0:03:59.609946
192000,1749953852.5053594,24.0,256.77934670448303,0:04:16.779347
204000,1749953869.5212002,24.0,273.7951874732971,0:04:33.795187
216000,1749953886.3946767,24.0,290.66866397857666,0:04:50.668664
228000,1749953903.9895077,24.0,308.2634949684143,0:05:08.263495
240000,1749953921.617326,24.0,325.89131331443787,0:05:25.891313
252000,1749953938.8227532,24.0,343.09674048423767,0:05:43.096740
264000,1749953955.842207,24.0,360.11619424819946,0:06:00.116194
276000,1749953972.7184722,24.0,376.99245953559875,0:06:16.992460
288000,1749953990.2980616,24.0,394.5720489025116,0:06:34.572049
300000,1749954008.5170944,24.0,412.7910816669464,0:06:52.791082
312000,1749954025.8745477,24.0,430.14853501319885,0:07:10.148535
324000,1749954042.991289,24.0,447.2652761936188,0:07:27.265276
336000,1749954060.083406,24.0,464.3573932647705,0:07:44.357393
348000,1749954077.4143865,24.0,481.6883738040924,0:08:01.688374
360000,1749954095.190218,24.0,499.46420526504517,0:08:19.464205
372000,1749954113.2394297,24.0,517.5134170055389,0:08:37.513417
384000,1749954130.2655342,24.0,534.5395214557648,0:08:54.539521
396000,1749954147.4294105,24.0,551.7033977508545,0:09:11.703398
408000,1749954164.3074028,24.0,568.5813901424408,0:09:28.581390
420000,1749954180.982592,24.0,585.2565793991089,0:09:45.256579
432000,1749954197.9285345,24.0,602.2025218009949,0:10:02.202522
444000,1749954215.3947842,24.0,619.6687715053558,0:10:19.668772
456000,1749954232.610477,24.0,636.884464263916,0:10:36.884464
468000,1749954249.1570442,24.0,653.4310314655304,0:10:53.431031
480000,1749954265.969167,24.0,670.2431542873383,0:11:10.243154
492000,1749954293.955005,24.0,698.2289922237396,0:11:38.228992
504000,1749954311.3250806,24.0,715.5990679264069,0:11:55.599068
516000,1749954328.152944,24.0,732.4269313812256,0:12:12.426931
528000,1749954345.1576889,24.0,749.4316761493683,0:12:29.431676
540000,1749954362.112844,24.0,766.3868312835693,0:12:46.386831
552000,1749954379.2233922,24.0,783.4973795413971,0:13:03.497380
564000,1749954397.179463,24.0,801.4534502029419,0:13:21.453450
576000,1749954423.025937,24.0,827.2999243736267,0:13:47.299924
588000,1749954440.2822242,24.0,844.5562114715576,0:14:04.556211
600000,1749954457.3651152,24.0,861.6391024589539,0:14:21.639102
612000,1749954474.4420455,24.0,878.716032743454,0:14:38.716033
624000,1749954492.2057986,24.0,896.4797859191895,0:14:56.479786
636000,1749954509.9248435,24.0,914.1988308429718,0:15:14.198831
648000,1749954526.8679528,24.0,931.1419401168823,0:15:31.141940
660000,1749954543.5586162,24.0,947.8326034545898,0:15:47.832603
672000,1749954560.6233726,24.0,964.8973598480225,0:16:04.897360
684000,1749954577.829105,24.0,982.1030921936035,0:16:22.103092
696000,1749954595.209292,24.0,999.4832792282104,0:16:39.483279
708000,1749954612.9497364,24.0,1017.2237236499786,0:16:57.223724
720000,1749954630.0664077,24.0,1034.3403949737549,0:17:14.340395
732000,1749954647.1499023,24.0,1051.4238896369934,0:17:31.423890
744000,1749954664.0533628,24.0,1068.327350139618,0:17:48.327350
756000,1749954680.9699311,24.0,1085.2439184188843,0:18:05.243918
768000,1749954698.007672,24.0,1102.2816593647003,0:18:22.281659
780000,1749954716.1265848,24.0,1120.4005720615387,0:18:40.400572
792000,1749954733.4231806,24.0,1137.6971678733826,0:18:57.697168
804000,1749954750.3888917,24.0,1154.6628789901733,0:19:14.662879
816000,1749954767.3562858,24.0,1171.630273103714,0:19:31.630273
828000,1749954784.3501248,24.0,1188.6241121292114,0:19:48.624112
840000,1749954801.3928752,24.0,1205.666862487793,0:20:05.666862
852000,1749954819.4796376,24.0,1223.7536249160767,0:20:23.753625
864000,1749954837.1111357,24.0,1241.38512301445,0:20:41.385123
876000,1749954854.076269,24.0,1258.350256204605,0:20:58.350256
888000,1749954871.1861703,24.0,1275.4601576328278,0:21:15.460158
900000,1749954888.0891457,24.0,1292.3631329536438,0:21:32.363133
912000,1749954905.113108,24.0,1309.3870952129364,0:21:49.387095
924000,1749954922.7301853,24.0,1327.0041725635529,0:22:07.004173
936000,1749954940.2679343,24.0,1344.5419216156006,0:22:24.541922
948000,1749954957.1836164,24.0,1361.4576036930084,0:22:41.457604
960000,1749954974.3035994,24.0,1378.5775866508484,0:22:58.577587
972000,1749954991.3481843,24.0,1395.6221716403961,0:23:15.622172
984000,1749955008.2816553,24.0,1412.5556426048279,0:23:32.555643
996000,1749955032.7174196,24.0,1436.991406917572,0:23:56.991407
1008000,1749955050.7693539,24.0,1455.0433411598206,0:24:15.043341
1020000,1749955067.917943,24.0,1472.1919302940369,0:24:32.191930
1032000,1749955084.8381238,24.0,1489.1121110916138,0:24:49.112111
