step,wall_time,train_explained_variance,relative_seconds,relative_time
24000,1749953612.1361113,1.2040138244628906e-05,0.0,0:00:00
36000,1749953629.0145793,4.172325134277344e-07,16.87846803665161,0:00:16.878468
48000,1749953647.6109095,0.0,35.47479820251465,0:00:35.474798
60000,1749953664.6546745,0.0,52.51856327056885,0:00:52.518563
72000,1749953681.0481215,-1.1920928955078125e-07,68.9120101928711,0:01:08.912010
84000,1749953697.3012118,0.0,85.16510057449341,0:01:25.165101
96000,1749953713.732331,-1.1920928955078125e-07,101.59621977806091,0:01:41.596220
108000,1749953729.9114788,0.0,117.77536749839783,0:01:57.775367
120000,1749953746.3602684,0.0,134.22415709495544,0:02:14.224157
132000,1749953762.31975,1.1920928955078125e-07,150.18363881111145,0:02:30.183639
144000,1749953778.5042465,-2.384185791015625e-07,166.36813521385193,0:02:46.368135
156000,1749953795.336676,-1.1920928955078125e-07,183.20056462287903,0:03:03.200565
168000,1749953817.990208,0.0,205.85409665107727,0:03:25.854097
180000,1749953835.1722806,0.0,223.0361692905426,0:03:43.036169
192000,1749953852.3454044,1.7881393432617188e-07,240.20929312705994,0:04:00.209293
204000,1749953869.3611376,0.0,257.22502636909485,0:04:17.225026
216000,1749953886.1351357,0.0,273.9990243911743,0:04:33.999024
228000,1749953903.7520463,0.0,291.615935087204,0:04:51.615935
240000,1749953921.4553218,0.0,309.3192105293274,0:05:09.319211
252000,1749953938.64591,1.7881393432617188e-07,326.5097987651825,0:05:26.509799
264000,1749953955.6554716,5.960464477539063e-08,343.5193603038788,0:05:43.519360
276000,1749953972.5540543,0.0,360.41794300079346,0:06:00.417943
288000,1749953989.9997625,0.0,377.86365127563477,0:06:17.863651
300000,1749954008.2722676,0.0,396.1361563205719,0:06:36.136156
312000,1749954025.7340984,0.0,413.5979871749878,0:06:53.597987
324000,1749954042.8327398,0.0,430.69662857055664,0:07:10.696629
336000,1749954059.9117854,0.0,447.77567410469055,0:07:27.775674
348000,1749954077.2528324,-2.384185791015625e-07,465.1167211532593,0:07:45.116721
360000,1749954094.923963,0.0,482.7878518104553,0:08:02.787852
372000,1749954113.0331883,-1.1920928955078125e-07,500.89707708358765,0:08:20.897077
384000,1749954130.1138523,-1.1920928955078125e-07,517.9777410030365,0:08:37.977741
396000,1749954147.3023164,2.384185791015625e-07,535.1662051677704,0:08:55.166205
408000,1749954164.1603153,0.0,552.0242040157318,0:09:12.024204
420000,1749954180.847176,1.7881393432617188e-07,568.7110648155212,0:09:28.711065
432000,1749954197.667157,0.0,585.5310456752777,0:09:45.531046
444000,1749954215.1537783,0.0,603.01766705513,0:10:03.017667
456000,1749954232.474608,0.0,620.3384966850281,0:10:20.338497
468000,1749954249.024786,1.1920928955078125e-07,636.888674736023,0:10:36.888675
480000,1749954265.7964935,1.1920928955078125e-07,653.660382270813,0:10:53.660382
492000,1749954293.6995394,-1.1920928955078125e-07,681.5634281635284,0:11:21.563428
504000,1749954311.1925182,0.0,699.0564069747925,0:11:39.056407
516000,1749954328.0172489,0.0,715.8811376094818,0:11:55.881138
528000,1749954345.0153136,0.0,732.8792023658752,0:12:12.879202
540000,1749954361.982516,0.0,749.8464047908783,0:12:29.846405
552000,1749954379.0919065,0.0,766.9557952880859,0:12:46.955795
564000,1749954396.9208586,0.0,784.7847473621368,0:13:04.784747
576000,1749954422.8928416,0.0,810.7567303180695,0:13:30.756730
588000,1749954440.1272573,0.0,827.9911460876465,0:13:47.991146
600000,1749954457.2362177,-1.1920928955078125e-07,845.1001064777374,0:14:05.100106
612000,1749954474.307969,0.027466893196105957,862.1718578338623,0:14:22.171858
624000,1749954491.971124,0.04600447416305542,879.8350126743317,0:14:39.835013
636000,1749954509.7867866,0.04872697591781616,897.6506752967834,0:14:57.650675
648000,1749954526.7324197,0.043180644512176514,914.5963084697723,0:15:14.596308
660000,1749954543.428117,0.04589128494262695,931.292005777359,0:15:31.292006
672000,1749954560.4911888,0.03907036781311035,948.3550775051117,0:15:48.355078
684000,1749954577.6875184,0.041028499603271484,965.5514070987701,0:16:05.551407
696000,1749954594.9540915,0.053082048892974854,982.8179802894592,0:16:22.817980
708000,1749954612.699562,0.05428045988082886,1000.5634508132935,0:16:40.563451
720000,1749954629.937836,0.06061500310897827,1017.8017246723175,0:16:57.801725
732000,1749954647.0097961,0.05152130126953125,1034.8736848831177,0:17:14.873685
744000,1749954663.9175575,0.06344836950302124,1051.7814462184906,0:17:31.781446
756000,1749954680.8356206,0.05005830526351929,1068.699509382248,0:17:48.699509
768000,1749954697.7610312,0.052641868591308594,1085.6249198913574,0:18:05.624920
780000,1749954715.889899,0.04877734184265137,1103.7537877559662,0:18:23.753788
792000,1749954733.2914824,0.047698378562927246,1121.1553711891174,0:18:41.155371
804000,1749954750.2572742,0.05228549242019653,1138.121162891388,0:18:58.121163
816000,1749954767.208274,0.05027198791503906,1155.0721626281738,0:19:15.072163
828000,1749954784.2233422,0.04845285415649414,1172.0872309207916,0:19:32.087231
840000,1749954801.2654955,0.04366558790206909,1189.129384279251,0:19:49.129384
852000,1749954819.2238572,0.04760080575942993,1207.0877459049225,0:20:07.087746
864000,1749954836.9755504,0.057468950748443604,1224.8394391536713,0:20:24.839439
876000,1749954853.9229312,0.04389399290084839,1241.786819934845,0:20:41.786820
888000,1749954871.0340178,0.04755896329879761,1258.8979065418243,0:20:58.897907
900000,1749954887.9551585,0.04183793067932129,1275.8190472126007,0:21:15.819047
912000,1749954904.9715505,0.04923337697982788,1292.8354392051697,0:21:32.835439
924000,1749954922.4815543,0.0466235876083374,1310.3454430103302,0:21:50.345443
936000,1749954940.09141,0.05271559953689575,1327.9552986621857,0:22:07.955299
948000,1749954957.0514765,0.03830981254577637,1344.9153652191162,0:22:24.915365
960000,1749954974.1717224,0.04945093393325806,1362.035611152649,0:22:42.035611
972000,1749954991.220543,0.044270217418670654,1379.0844316482544,0:22:59.084432
984000,1749955008.1116843,0.04530787467956543,1395.9755730628967,0:23:15.975573
996000,1749955032.440404,0.04295074939727783,1420.304292678833,0:23:40.304293
1008000,1749955050.637053,0.04314976930618286,1438.5009417533875,0:23:58.500942
1020000,1749955067.7781782,0.03833049535751343,1455.6420669555664,0:24:15.642067
1032000,1749955084.6948023,0.03360503911972046,1472.5586910247803,0:24:32.558691
1044000,1749955101.8885016,0.045253217220306396,1489.752390384674,0:24:49.752390
1056000,1749955119.5070024,0.03917050361633301,1507.3708910942078,0:25:07.370891
1068000,1749955136.5789368,0.031845271587371826,1524.4428255558014,0:25:24.442826
1080000,1749955153.0024376,0.03978008031845093,1540.8663263320923,0:25:40.866326
1092000,1749955169.9764285,0.03603416681289673,1557.840317249298,0:25:57.840317
1104000,1749955186.9773166,0.041240692138671875,1574.8412053585052,0:26:14.841205
1116000,1749955203.7196162,0.03462475538253784,1591.5835049152374,0:26:31.583505
1128000,1749955220.8206794,0.03463512659072876,1608.6845681667328,0:26:48.684568
1140000,1749955238.017917,0.033603668212890625,1625.8818056583405,0:27:05.881806
1152000,1749955255.2648635,0.03584927320480347,1643.128752231598,0:27:23.128752
1164000,1749955272.2245522,0.030343592166900635,1660.0884408950806,0:27:40.088441
1176000,1749955289.2405808,0.02519899606704712,1677.104469537735,0:27:57.104470
1188000,1749955306.567613,0.03422379493713379,1694.4315016269684,0:28:14.431502
1200000,1749955323.6312895,0.0267026424407959,1711.4951782226562,0:28:31.495178
1212000,1749955340.9704425,0.02649235725402832,1728.8343312740326,0:28:48.834331
1224000,1749955359.1025245,0.029610097408294678,1746.9664132595062,0:29:06.966413
1236000,1749955376.148879,0.03101646900177002,1764.012767791748,0:29:24.012768
1248000,1749955392.6200807,0.0339432954788208,1780.483969449997,0:29:40.483969
1260000,1749955409.4349158,0.027035415172576904,1797.2988045215607,0:29:57.298805
1272000,1749955426.3761368,0.024586021900177002,1814.2400255203247,0:30:14.240026
1284000,1749955443.1739538,0.0263708233833313,1831.0378425121307,0:30:31.037843
1296000,1749955461.393253,0.02169722318649292,1849.257141828537,0:30:49.257142
1308000,1749955479.5413904,0.020849287509918213,1867.405279159546,0:31:07.405279
1320000,1749955496.9169073,0.020924031734466553,1884.7807960510254,0:31:24.780796
1332000,1749955514.594561,0.02377408742904663,1902.4584498405457,0:31:42.458450
1344000,1749955531.9886155,0.02870231866836548,1919.8525042533875,0:31:59.852504
1356000,1749955550.1124446,0.025145232677459717,1937.9763333797455,0:32:17.976333
1368000,1749955568.3646002,0.02408546209335327,1956.2284889221191,0:32:36.228489
1380000,1749955585.9928741,0.019619464874267578,1973.8567628860474,0:32:53.856763
1392000,1749955603.4021378,0.022901713848114014,1991.2660264968872,0:33:11.266026
1404000,1749955620.5645485,0.017128586769104004,2008.4284372329712,0:33:28.428437
1416000,1749955638.8595884,0.02124851942062378,2026.7234771251678,0:33:46.723477
1428000,1749955661.9199069,0.01874476671218872,2049.783795595169,0:34:09.783796
1440000,1749955679.3076885,0.021869301795959473,2067.1715772151947,0:34:27.171577
1452000,1749955696.8177037,0.02171909809112549,2084.681592464447,0:34:44.681592
1464000,1749955714.058692,0.01292330026626587,2101.922580718994,0:35:01.922581
1476000,1749955731.6127172,0.015236616134643555,2119.4766058921814,0:35:19.476606
1488000,1749955750.2337089,0.015560030937194824,2138.0975975990295,0:35:38.097598
1500000,1749955767.430758,0.014720916748046875,2155.2946467399597,0:35:55.294647
1512000,1749955784.991245,0.005017876625061035,2172.8551337718964,0:36:12.855134
1524000,1749955802.177053,0.012415170669555664,2190.0409417152405,0:36:30.040942
1536000,1749955819.3387423,0.01638484001159668,2207.202630996704,0:36:47.202631
1548000,1749955837.150424,0.01547151803970337,2225.0143127441406,0:37:05.014313
1560000,1749955854.9784532,0.01454704999923706,2242.842341899872,0:37:22.842342
1572000,1749955872.185636,0.0087357759475708,2260.049524784088,0:37:40.049525
1584000,1749955889.321073,0.014219999313354492,2277.184961795807,0:37:57.184962
1596000,1749955906.706533,0.011302411556243896,2294.5704216957092,0:38:14.570422
1608000,1749955924.0262868,0.011539280414581299,2311.8901755809784,0:38:31.890176
1620000,1749955942.3009617,0.00992506742477417,2330.164850473404,0:38:50.164850
1632000,1749955960.3131871,0.007989168167114258,2348.1770758628845,0:39:08.177076
1644000,1749955977.7266035,0.014043450355529785,2365.590492248535,0:39:25.590492
1656000,1749955995.0111468,0.008725881576538086,2382.8750355243683,0:39:42.875036
1668000,1749956012.296332,0.00957787036895752,2400.1602206230164,0:40:00.160221
1680000,1749956030.1914082,0.009252965450286865,2418.055296897888,0:40:18.055297
1692000,1749956048.993623,0.00943213701248169,2436.8575117588043,0:40:36.857512
1704000,1749956066.5037498,0.0085715651512146,2454.3676385879517,0:40:54.367639
1716000,1749956083.8248248,0.008509159088134766,2471.6887135505676,0:41:11.688714
1728000,1749956101.0662541,0.0014933943748474121,2488.930142879486,0:41:28.930143
1740000,1749956118.6581101,0.008091270923614502,2506.5219988822937,0:41:46.521999
1752000,1749956137.405646,0.006439566612243652,2525.2695348262787,0:42:05.269535
1764000,1749956154.6614797,0.007352352142333984,2542.525368452072,0:42:22.525368
1776000,1749956171.800383,0.0031982064247131348,2559.6642718315125,0:42:39.664272
1788000,1749956188.98844,0.00892418622970581,2576.8523287773132,0:42:56.852329
1800000,1749956206.5858812,0.006380438804626465,2594.449769973755,0:43:14.449770
1812000,1749956224.5169666,0.010212481021881104,2612.380855321884,0:43:32.380855
1824000,1749956242.542316,0.005374610424041748,2630.40620470047,0:43:50.406205
1836000,1749956259.9660242,0.0063280463218688965,2647.8299129009247,0:44:07.829913
1848000,1749956277.4271147,0.0026901960372924805,2665.2910034656525,0:44:25.291003
1860000,1749956294.7220848,0.0077430009841918945,2682.5859735012054,0:44:42.585974
1872000,1749956312.7447484,0.0036166906356811523,2700.6086370944977,0:45:00.608637
1884000,1749956331.6791637,0.005319416522979736,2719.5430524349213,0:45:19.543052
1896000,1749956349.1774116,-0.004664182662963867,2737.0413002967834,0:45:37.041300
1908000,1749956366.2067633,0.005506038665771484,2754.0706520080566,0:45:54.070652
1920000,1749956383.157256,0.005306839942932129,2771.021144628525,0:46:11.021145
1932000,1749956399.962411,0.008278250694274902,2787.8262996673584,0:46:27.826300
1944000,1749956417.7059336,0.003693222999572754,2805.5698223114014,0:46:45.569822
1956000,1749956435.6009285,0.005340278148651123,2823.4648172855377,0:47:03.464817
1968000,1749956453.0394309,0.003097712993621826,2840.9033195972443,0:47:20.903320
1980000,1749956469.960701,0.0070264339447021484,2857.824589729309,0:47:37.824590
1992000,1749956486.9962788,0.0009230375289916992,2874.860167503357,0:47:54.860168
2004000,1749956503.8321924,0.0058100223541259766,2891.696081161499,0:48:11.696081
2016000,1749956520.6478307,0.004629671573638916,2908.5117194652557,0:48:28.511719
2028000,1749956538.1011379,0.006185054779052734,2925.96502661705,0:48:45.965027
2040000,1749956555.442905,0.0031151771545410156,2943.306793689728,0:49:03.306794
2052000,1749956572.0927017,0.004900753498077393,2959.9565904140472,0:49:19.956590
2064000,1749956589.076952,0.004353940486907959,2976.9408407211304,0:49:36.940841
2076000,1749956605.6649377,0.0014747381210327148,2993.5288264751434,0:49:53.528826
2088000,1749956622.1035383,0.004188835620880127,3009.9674270153046,0:50:09.967427
2100000,1749956638.6224895,0.001133561134338379,3026.4863781929016,0:50:26.486378
2112000,1749956656.4272945,0.006608068943023682,3044.291183233261,0:50:44.291183
