step,wall_time,train_value_loss,relative_seconds,relative_time
24000,1749903324.844612,20158432.0,0.0,0:00:00
36000,1749903337.902368,19316078.0,13.057756185531616,0:00:13.057756
48000,1749903351.6553888,18716340.0,26.810776948928833,0:00:26.810777
60000,1749903364.816596,18075810.0,39.97198414802551,0:00:39.971984
72000,1749903377.9063818,17364014.0,53.06176996231079,0:00:53.061770
84000,1749903391.0739837,16998676.0,66.22937178611755,0:01:06.229372
96000,1749903404.1754794,16066082.0,79.3308675289154,0:01:19.330868
108000,1749903417.381749,15426148.0,92.53713703155518,0:01:32.537137
120000,1749903430.5290637,14834763.0,105.68445181846619,0:01:45.684452
132000,1749903443.7061594,14212725.0,118.86154747009277,0:01:58.861547
144000,1749903456.7636976,13497652.0,131.9190857410431,0:02:11.919086
156000,1749903469.721704,12767522.0,144.87709212303162,0:02:24.877092
168000,1749903482.6337864,11934013.0,157.78917455673218,0:02:37.789175
180000,1749903495.5435162,11133026.0,170.69890427589417,0:02:50.698904
192000,1749903508.6108344,10377676.0,183.76622247695923,0:03:03.766222
204000,1749903521.7854104,9693489.0,196.94079852104187,0:03:16.940799
216000,1749903534.9791875,9151339.0,210.13457560539246,0:03:30.134576
228000,1749903548.22901,8359099.0,223.3843982219696,0:03:43.384398
240000,1749903561.2489533,7488288.0,236.4043414592743,0:03:56.404341
252000,1749903574.169158,7068573.0,249.3245460987091,0:04:09.324546
264000,1749903587.126011,6210960.0,262.28139901161194,0:04:22.281399
276000,1749903600.1035585,5674823.5,275.2589466571808,0:04:35.258947
288000,1749903613.1365137,4883392.5,288.2919018268585,0:04:48.291902
300000,1749903626.188071,4338554.0,301.3434591293335,0:05:01.343459
312000,1749903639.275921,3787703.0,314.43130922317505,0:05:14.431309
324000,1749903652.3638437,3231209.25,327.51923179626465,0:05:27.519232
336000,1749903665.5290973,2817275.75,340.68448543548584,0:05:40.684485
348000,1749903678.6572845,2391157.0,353.81267261505127,0:05:53.812673
360000,1749903691.7683778,2035530.375,366.92376589775085,0:06:06.923766
372000,1749903704.6584327,1660300.875,379.8138208389282,0:06:19.813821
384000,1749903717.6920657,1406616.375,392.84745383262634,0:06:32.847454
396000,1749903730.8417175,1061386.375,405.9971055984497,0:06:45.997106
408000,1749903744.0586247,905573.5,419.21401286125183,0:06:59.214013
420000,1749903757.227051,716219.625,432.3824391365051,0:07:12.382439
432000,1749903770.5513287,534601.6875,445.70671677589417,0:07:25.706717
444000,1749903783.794969,397298.1875,458.9503571987152,0:07:38.950357
456000,1749903796.8100524,281607.625,471.9654405117035,0:07:51.965441
468000,1749903809.7950966,205871.515625,484.95048475265503,0:08:04.950485
480000,1749903822.7856705,141810.09375,497.94105863571167,0:08:17.941059
492000,1749903835.8269513,76502.40625,510.98233938217163,0:08:30.982339
504000,1749903848.7263193,39569.44140625,523.8817074298859,0:08:43.881707
516000,1749903861.6175466,21034.15625,536.7729346752167,0:08:56.772935
528000,1749903874.474859,10201.5185546875,549.6302471160889,0:09:09.630247
540000,1749903887.3473995,3443.2353515625,562.5027875900269,0:09:22.502788
552000,1749903900.2554116,1796.6343994140625,575.410799741745,0:09:35.410800
564000,1749903913.0495842,1472.13330078125,588.2049722671509,0:09:48.204972
576000,1749903925.8769965,1515.207275390625,601.032384634018,0:10:01.032385
588000,1749903938.7163482,1507.8914794921875,613.8717362880707,0:10:13.871736
600000,1749903951.7265174,1302.3121337890625,626.8819055557251,0:10:26.881906
612000,1749903964.9836383,1608.31982421875,640.1390264034271,0:10:40.139026
624000,1749903978.0226045,1452.788330078125,653.1779925823212,0:10:53.177993
636000,1749903990.8990104,941.705322265625,666.0543985366821,0:11:06.054399
648000,1749904003.7226985,1120.0430908203125,678.878086566925,0:11:18.878087
660000,1749904016.5414581,1030.6527099609375,691.6968462467194,0:11:31.696846
672000,1749904029.4244907,670.396728515625,704.5798788070679,0:11:44.579879
684000,1749904042.1888251,941.310791015625,717.3442132472992,0:11:57.344213
696000,1749904055.0521808,581.7430419921875,730.2075688838959,0:12:10.207569
708000,1749904067.9229064,795.9450073242188,743.0782945156097,0:12:23.078295
720000,1749904080.7008588,661.83837890625,755.8562469482422,0:12:35.856247
732000,1749904093.4027317,1027.6654052734375,768.5581197738647,0:12:48.558120
744000,1749904106.1010733,661.7099609375,781.2564613819122,0:13:01.256461
756000,1749904118.960086,676.0618286132812,794.1154742240906,0:13:14.115474
768000,1749904131.9504805,609.7271118164062,807.1058685779572,0:13:27.105869
780000,1749904145.0679677,715.2970581054688,820.2233557701111,0:13:40.223356
