step,wall_time,train_learning_rate,relative_seconds,relative_time
24000,1749899489.036118,9.999999747378752e-05,0.0,0:00:00
36000,1749899502.234763,9.999999747378752e-05,13.198644876480103,0:00:13.198645
48000,1749899515.4389396,9.999999747378752e-05,26.40282154083252,0:00:26.402822
60000,1749899528.9101815,9.999999747378752e-05,39.87406349182129,0:00:39.874063
72000,1749899542.296077,9.999999747378752e-05,53.25995898246765,0:00:53.259959
84000,1749899555.7953403,9.999999747378752e-05,66.75922226905823,0:01:06.759222
96000,1749899569.4380174,9.999999747378752e-05,80.40189933776855,0:01:20.401899
108000,1749899583.050181,9.999999747378752e-05,94.01406288146973,0:01:34.014063
120000,1749899596.5839207,9.999999747378752e-05,107.54780268669128,0:01:47.547803
132000,1749899610.101296,9.999999747378752e-05,121.06517791748047,0:02:01.065178
144000,1749899623.5151153,9.999999747378752e-05,134.47899723052979,0:02:14.478997
156000,1749899636.831738,9.999999747378752e-05,147.7956199645996,0:02:27.795620
168000,1749899650.0171866,9.999999747378752e-05,160.98106861114502,0:02:40.981069
180000,1749899663.1402223,9.999999747378752e-05,174.1041042804718,0:02:54.104104
192000,1749899676.3534992,9.999999747378752e-05,187.31738114356995,0:03:07.317381
204000,1749899689.5729282,9.999999747378752e-05,200.53681015968323,0:03:20.536810
216000,1749899702.7993705,9.999999747378752e-05,213.76325249671936,0:03:33.763252
228000,1749899716.0266583,9.999999747378752e-05,226.990540266037,0:03:46.990540
240000,1749899729.1714065,9.999999747378752e-05,240.13528847694397,0:04:00.135288
252000,1749899742.3675876,9.999999747378752e-05,253.33146953582764,0:04:13.331470
264000,1749899755.5581179,9.999999747378752e-05,266.521999835968,0:04:26.522000
276000,1749899768.775316,9.999999747378752e-05,279.73919796943665,0:04:39.739198
288000,1749899781.9101253,9.999999747378752e-05,292.8740072250366,0:04:52.874007
300000,1749899795.0989492,9.999999747378752e-05,306.0628311634064,0:05:06.062831
312000,1749899808.2446203,9.999999747378752e-05,319.20850229263306,0:05:19.208502
324000,1749899821.2036297,9.999999747378752e-05,332.16751170158386,0:05:32.167512
336000,1749899834.450194,9.999999747378752e-05,345.41407585144043,0:05:45.414076
348000,1749899847.5886233,9.999999747378752e-05,358.5525052547455,0:05:58.552505
360000,1749899860.9473119,9.999999747378752e-05,371.91119384765625,0:06:11.911194
372000,1749899874.2431731,9.999999747378752e-05,385.2070550918579,0:06:25.207055
384000,1749899887.7413363,9.999999747378752e-05,398.7052183151245,0:06:38.705218
396000,1749899901.2322292,9.999999747378752e-05,412.19611120224,0:06:52.196111
408000,1749899914.5851388,9.999999747378752e-05,425.5490207672119,0:07:05.549021
420000,1749899927.8414853,9.999999747378752e-05,438.805367231369,0:07:18.805367
432000,1749899941.0138662,9.999999747378752e-05,451.9777481555939,0:07:31.977748
444000,1749899954.1447885,9.999999747378752e-05,465.10867047309875,0:07:45.108670
456000,1749899967.261224,9.999999747378752e-05,478.22510600090027,0:07:58.225106
468000,1749899980.3530211,9.999999747378752e-05,491.31690311431885,0:08:11.316903
480000,1749899993.5350618,9.999999747378752e-05,504.4989438056946,0:08:24.498944
492000,1749900006.7096703,9.999999747378752e-05,517.673552274704,0:08:37.673552
504000,1749900019.975594,9.999999747378752e-05,530.9394760131836,0:08:50.939476
516000,1749900033.1793232,9.999999747378752e-05,544.143205165863,0:09:04.143205
528000,1749900046.4681704,9.999999747378752e-05,557.4320523738861,0:09:17.432052
540000,1749900059.6203797,9.999999747378752e-05,570.5842616558075,0:09:30.584262
552000,1749900072.7858808,9.999999747378752e-05,583.7497627735138,0:09:43.749763
564000,1749900085.6904178,9.999999747378752e-05,596.654299736023,0:09:56.654300
576000,1749900098.4853156,9.999999747378752e-05,609.4491975307465,0:10:09.449198
588000,1749900111.5361125,9.999999747378752e-05,622.4999945163727,0:10:22.499995
600000,1749900124.7052193,9.999999747378752e-05,635.6691012382507,0:10:35.669101
612000,1749900137.8658595,9.999999747378752e-05,648.8297414779663,0:10:48.829741
