step,wall_time,train_loss,relative_seconds,relative_time
24000,1749899489.0361302,11161741.0,0.0,0:00:00
36000,1749899502.234781,10251542.0,13.19865083694458,0:00:13.198651
48000,1749899515.4389572,10129681.0,26.40282702445984,0:00:26.402827
60000,1749899528.910199,9597537.0,39.87406873703003,0:00:39.874069
72000,1749899542.2960947,9107863.0,53.25996446609497,0:00:53.259964
84000,1749899555.7953582,9241131.0,66.75922799110413,0:01:06.759228
96000,1749899569.4380522,8361052.0,80.40192198753357,0:01:20.401922
108000,1749899583.0501995,8232624.0,94.01406931877136,0:01:34.014069
120000,1749899596.5839393,7795291.5,107.54780912399292,0:01:47.547809
132000,1749899610.1013165,7553270.5,121.06518626213074,0:02:01.065186
144000,1749899623.5151353,7488355.0,134.4790050983429,0:02:14.479005
156000,1749899636.8317509,6997335.0,147.79562067985535,0:02:27.795621
168000,1749899650.017199,6503635.5,160.9810688495636,0:02:40.981069
180000,1749899663.1402416,6119885.5,174.10411143302917,0:02:54.104111
192000,1749899676.3535116,6021738.0,187.31738138198853,0:03:07.317381
204000,1749899689.5729487,5603791.5,200.5368185043335,0:03:20.536819
216000,1749899702.7993839,5034343.5,213.76325368881226,0:03:33.763254
228000,1749899716.0266702,4915727.5,226.9905400276184,0:03:46.990540
240000,1749899729.1714277,4295597.5,240.13529753684998,0:04:00.135298
252000,1749899742.3676078,3926289.5,253.33147764205933,0:04:13.331478
264000,1749899755.55813,3879200.5,266.521999835968,0:04:26.522000
276000,1749899768.7753317,3564928.0,279.73920154571533,0:04:39.739202
288000,1749899781.9101377,3158669.5,292.8740074634552,0:04:52.874007
300000,1749899795.0989678,2822297.25,306.062837600708,0:05:06.062838
312000,1749899808.2446394,2610384.5,319.20850920677185,0:05:19.208509
324000,1749899821.203648,2106898.25,332.1675179004669,0:05:32.167518
336000,1749899834.450228,1985259.5,345.4140977859497,0:05:45.414098
348000,1749899847.588643,1786039.125,358.55251288414,0:05:58.552513
360000,1749899860.94733,1471259.25,371.9111998081207,0:06:11.911200
372000,1749899874.2431862,1222499.625,385.2070560455322,0:06:25.207056
384000,1749899887.741349,1087175.625,398.70521879196167,0:06:38.705219
396000,1749899901.2322502,878433.0,412.1961200237274,0:06:52.196120
408000,1749899914.5851507,741924.5625,425.54902052879333,0:07:05.549021
