step,wall_time,train_explained_variance,relative_seconds,relative_time
24000,1749628168.9107018,4.762411117553711e-05,0.0,0:00:00
36000,1749628182.6028583,-0.00014197826385498047,13.692156553268433,0:00:13.692157
48000,1749628197.612009,-7.152557373046875e-05,28.70130729675293,0:00:28.701307
60000,1749628211.1412456,-4.5299530029296875e-06,42.23054385185242,0:00:42.230544
72000,1749628225.3540306,-6.67572021484375e-06,56.443328857421875,0:00:56.443329
84000,1749628238.924338,-5.0067901611328125e-06,70.01363635063171,0:01:10.013636
96000,1749628253.2214415,-2.0265579223632812e-06,84.3107397556305,0:01:24.310740
108000,1749628267.0637453,-3.2186508178710938e-06,98.15304350852966,0:01:38.153044
120000,1749628280.8629293,-4.887580871582031e-06,111.95222759246826,0:01:51.952228
132000,1749628294.5112116,-6.318092346191406e-06,125.60050988197327,0:02:05.600510
144000,1749628308.1577134,-3.4570693969726562e-06,139.24701166152954,0:02:19.247012
156000,1749628321.4980562,5.185604095458984e-06,152.5873544216156,0:02:32.587354
168000,1749628335.0450666,-2.1457672119140625e-06,166.13436484336853,0:02:46.134365
180000,1749628348.7853937,9.000301361083984e-06,179.8746919631958,0:02:59.874692
192000,1749628362.4103377,-3.814697265625e-06,193.4996359348297,0:03:13.499636
204000,1749628376.0694706,7.152557373046875e-06,207.1587688922882,0:03:27.158769
216000,1749628389.508353,-4.649162292480469e-06,220.59765124320984,0:03:40.597651
228000,1749628402.9076467,5.0067901611328125e-06,233.9969449043274,0:03:53.996945
240000,1749628416.7467558,-2.9802322387695312e-06,247.83605408668518,0:04:07.836054
252000,1749628430.2081687,1.6093254089355469e-06,261.2974669933319,0:04:21.297467
264000,1749628443.9666848,-2.1457672119140625e-06,275.05598306655884,0:04:35.055983
276000,1749628457.7895765,5.066394805908203e-06,288.87887477874756,0:04:48.878875
288000,1749628471.5613954,-2.9802322387695312e-06,302.65069365501404,0:05:02.650694
300000,1749628485.3067708,6.556510925292969e-07,316.3960690498352,0:05:16.396069
312000,1749628498.7056856,-8.344650268554688e-07,329.79498386383057,0:05:29.794984
324000,1749628512.4177816,-1.6689300537109375e-06,343.5070798397064,0:05:43.507080
336000,1749628526.0652628,-2.2649765014648438e-06,357.15456104278564,0:05:57.154561
348000,1749628539.6091828,0.0,370.69848108291626,0:06:10.698481
360000,1749628553.2884886,-5.960464477539062e-07,384.3777868747711,0:06:24.377787
372000,1749628566.9823556,3.159046173095703e-06,398.071653842926,0:06:38.071654
384000,1749628580.5643,-2.7418136596679688e-06,411.65359830856323,0:06:51.653598
396000,1749628594.116244,5.960464477539063e-08,425.2055423259735,0:07:05.205542
408000,1749628607.6971169,-1.430511474609375e-06,438.78641510009766,0:07:18.786415
420000,1749628621.4318147,-9.5367431640625e-07,452.52111291885376,0:07:32.521113
432000,1749628634.827238,-9.5367431640625e-07,465.91653633117676,0:07:45.916536
444000,1749628648.618384,3.5762786865234375e-06,479.70768213272095,0:07:59.707682
456000,1749628662.3140664,-7.152557373046875e-07,493.4033646583557,0:08:13.403365
468000,1749628675.8559318,3.516674041748047e-06,506.94523000717163,0:08:26.945230
480000,1749628689.7012923,2.384185791015625e-07,520.7905905246735,0:08:40.790591
492000,1749628704.4078987,-7.152557373046875e-07,535.4971969127655,0:08:55.497197
504000,1749628718.1407435,-4.76837158203125e-07,549.2300417423248,0:09:09.230042
516000,1749628731.7872474,-7.152557373046875e-07,562.8765456676483,0:09:22.876546
528000,1749628745.6058936,-9.5367431640625e-07,576.695191860199,0:09:36.695192
540000,1749628762.2979336,-4.76837158203125e-07,593.3872318267822,0:09:53.387232
552000,1749628776.0916882,-4.76837158203125e-06,607.180986404419,0:10:07.180986
564000,1749628789.7137892,-2.1457672119140625e-06,620.8030874729156,0:10:20.803087
576000,1749628803.530222,5.960464477539063e-08,634.6195201873779,0:10:34.619520
588000,1749628817.1580887,-1.0728836059570312e-06,648.247386932373,0:10:48.247387
600000,1749628830.9576914,3.3974647521972656e-06,662.0469896793365,0:11:02.046990
612000,1749628844.819154,5.960464477539062e-07,675.9084522724152,0:11:15.908452
624000,1749628858.4746947,5.364418029785156e-07,689.5639929771423,0:11:29.563993
636000,1749628872.0852332,3.5762786865234375e-07,703.1745314598083,0:11:43.174531
648000,1749628885.6341445,-1.3113021850585938e-06,716.7234427928925,0:11:56.723443
660000,1749628899.3482935,1.7881393432617188e-06,730.437591791153,0:12:10.437592
672000,1749628913.2261448,-5.7220458984375e-06,744.3154430389404,0:12:24.315443
684000,1749628926.9025474,1.1920928955078125e-06,757.9918456077576,0:12:37.991846
696000,1749628940.5910802,2.9206275939941406e-06,771.6803784370422,0:12:51.680378
708000,1749628954.2984426,4.0531158447265625e-06,785.3877408504486,0:13:05.387741
720000,1749628967.9761093,-3.6954879760742188e-06,799.0654075145721,0:13:19.065408
732000,1749628981.8203747,-1.3113021850585938e-06,812.9096729755402,0:13:32.909673
744000,1749628995.4307292,1.7881393432617188e-07,826.5200273990631,0:13:46.520027
756000,1749629009.1537697,-1.6689300537109375e-06,840.2430679798126,0:14:00.243068
768000,1749629022.8094273,-6.198883056640625e-06,853.8987255096436,0:14:13.898726
780000,1749629036.467558,5.364418029785156e-07,867.5568561553955,0:14:27.556856
792000,1749629050.2144077,-6.67572021484375e-06,881.3037059307098,0:14:41.303706
804000,1749629064.043063,-4.887580871582031e-06,895.1323611736298,0:14:55.132361
816000,1749629077.6832283,-8.821487426757812e-06,908.7725265026093,0:15:08.772527
828000,1749629091.4573877,1.0728836059570312e-06,922.5466859340668,0:15:22.546686
840000,1749629105.145067,-9.298324584960938e-06,936.2343652248383,0:15:36.234365
852000,1749629118.8439462,-9.417533874511719e-06,949.9332444667816,0:15:49.933244
864000,1749629132.5494857,-5.4836273193359375e-06,963.6387839317322,0:16:03.638784
876000,1749629146.31904,-1.2636184692382812e-05,977.4083383083344,0:16:17.408338
888000,1749629160.08979,-9.298324584960938e-06,991.1790883541107,0:16:31.179088
900000,1749629173.6290927,-1.0728836059570312e-05,1004.7183909416199,0:16:44.718391
912000,1749629187.2628255,-5.9604644775390625e-06,1018.3521237373352,0:16:58.352124
924000,1749629200.9401228,-1.8358230590820312e-05,1032.0294210910797,0:17:12.029421
936000,1749629214.8559809,-1.1444091796875e-05,1045.945279121399,0:17:25.945279
948000,1749629228.5587778,-2.1219253540039062e-05,1059.648076057434,0:17:39.648076
960000,1749629242.3984232,-1.2040138244628906e-05,1073.4877214431763,0:17:53.487721
972000,1749629256.0464783,-1.609325408935547e-05,1087.1357765197754,0:18:07.135777
984000,1749629269.8367832,-2.2649765014648438e-05,1100.926081418991,0:18:20.926081
996000,1749629283.4979932,-1.6450881958007812e-05,1114.5872914791107,0:18:34.587291
1008000,1749629296.8712707,-1.9073486328125e-06,1127.9605689048767,0:18:47.960569
