step,wall_time,ep_len_mean,relative_seconds,relative_time
12000,1749612105.6748805,24.0,0.0,0:00:00
24000,1749612120.1384292,24.0,14.46354866027832,0:00:14.463549
36000,1749612135.2766254,24.0,29.601744890213013,0:00:29.601745
48000,1749612150.07013,24.0,44.39524960517883,0:00:44.395250
60000,1749612164.9612892,24.0,59.28640866279602,0:00:59.286409
72000,1749612180.065761,24.0,74.3908805847168,0:01:14.390881
84000,1749612194.2533875,24.0,88.57850694656372,0:01:28.578507
96000,1749612209.6594362,24.0,103.98455572128296,0:01:43.984556
108000,1749612227.8631117,24.0,122.1882312297821,0:02:02.188231
120000,1749612244.1929922,24.0,138.51811170578003,0:02:18.518112
132000,1749612259.1677547,24.0,153.4928741455078,0:02:33.492874
144000,1749612274.418263,24.0,168.74338245391846,0:02:48.743382
156000,1749612288.3730068,24.0,182.69812631607056,0:03:02.698126
168000,1749612302.3400962,24.0,196.66521573066711,0:03:16.665216
180000,1749612316.372946,24.0,210.69806551933289,0:03:30.698066
192000,1749612330.7226899,24.0,225.0478093624115,0:03:45.047809
204000,1749612346.103774,24.0,240.4288935661316,0:04:00.428894
216000,1749612361.4466026,24.0,255.77172207832336,0:04:15.771722
228000,1749612376.8869748,24.0,271.2120943069458,0:04:31.212094
240000,1749612392.246715,24.0,286.571834564209,0:04:46.571835
252000,1749612408.033625,24.0,302.3587443828583,0:05:02.358744
264000,1749612423.7853732,24.0,318.1104927062988,0:05:18.110493
276000,1749612439.2426136,24.0,333.5677330493927,0:05:33.567733
288000,1749612454.263552,24.0,348.58867144584656,0:05:48.588671
300000,1749612468.9495552,24.0,363.27467465400696,0:06:03.274675
312000,1749612483.9633496,24.0,378.2884690761566,0:06:18.288469
324000,1749612498.2045596,24.0,392.5296790599823,0:06:32.529679
336000,1749612513.2401056,24.0,407.56522512435913,0:06:47.565225
348000,1749612528.1777573,24.0,422.50287675857544,0:07:02.502877
360000,1749612543.2357495,24.0,437.56086897850037,0:07:17.560869
372000,1749612558.2821598,24.0,452.6072793006897,0:07:32.607279
384000,1749612573.7333567,24.0,468.0584762096405,0:07:48.058476
396000,1749612589.5395389,24.0,483.8646583557129,0:08:03.864658
408000,1749612605.2524774,24.0,499.5775969028473,0:08:19.577597
420000,1749612620.4823673,24.0,514.8074867725372,0:08:34.807487
432000,1749612635.5748866,24.0,529.9000060558319,0:08:49.900006
444000,1749612650.9704769,24.0,545.2955963611603,0:09:05.295596
456000,1749612666.233153,24.0,560.558272600174,0:09:20.558273
468000,1749612680.8175156,24.0,575.1426351070404,0:09:35.142635
480000,1749612695.7839293,24.0,590.1090488433838,0:09:50.109049
492000,1749612710.8756652,24.0,605.2007846832275,0:10:05.200785
504000,1749612726.4005728,24.0,620.7256922721863,0:10:20.725692
516000,1749612742.228852,24.0,636.553971529007,0:10:36.553972
528000,1749612757.6075811,24.0,651.9327006340027,0:10:51.932701
540000,1749612771.4241326,24.0,665.7492520809174,0:11:05.749252
552000,1749612786.5975223,24.0,680.9226417541504,0:11:20.922642
564000,1749612801.65498,24.0,695.980099439621,0:11:35.980099
576000,1749612816.1545222,24.0,710.4796416759491,0:11:50.479642
588000,1749612831.3329659,24.0,725.6580853462219,0:12:05.658085
600000,1749612850.4047544,24.0,744.7298738956451,0:12:24.729874
612000,1749612865.394721,24.0,759.7198405265808,0:12:39.719841
624000,1749612880.8980286,24.0,775.2231481075287,0:12:55.223148
636000,1749612896.6742532,24.0,790.9993727207184,0:13:10.999373
648000,1749612910.630273,24.0,804.9553925991058,0:13:24.955393
660000,1749612925.4201336,24.0,819.7452530860901,0:13:39.745253
672000,1749612940.59649,24.0,834.9216094017029,0:13:54.921609
684000,1749612955.7300074,24.0,850.0551269054413,0:14:10.055127
696000,1749612970.6456146,24.0,864.9707341194153,0:14:24.970734
708000,1749612985.8187346,24.0,880.1438541412354,0:14:40.143854
720000,1749613000.4594212,24.0,894.7845406532288,0:14:54.784541
732000,1749613015.726747,24.0,910.0518665313721,0:15:10.051867
744000,1749613031.0799778,24.0,925.40509724617,0:15:25.405097
