step,wall_time,ep_rew_mean,relative_seconds,relative_time
12000,1749628153.6303215,-6111.9951171875,0.0,0:00:00
24000,1749628166.5175216,-5588.14892578125,12.887200117111206,0:00:12.887200
36000,1749628179.8604448,-4829.09130859375,26.230123281478882,0:00:26.230123
48000,1749628193.2252133,-4254.955078125,39.59489178657532,0:00:39.594892
60000,1749628207.0604424,-3537.95751953125,53.43012094497681,0:00:53.430121
72000,1749628220.5666447,-2861.95947265625,66.93632316589355,0:01:06.936323
84000,1749628234.2066152,-2191.969482421875,80.57629370689392,0:01:20.576294
96000,1749628247.9008665,-1598.3916015625,94.27054500579834,0:01:34.270545
108000,1749628261.1754384,-1164.5526123046875,107.5451169013977,0:01:47.545117
120000,1749628274.674243,-740.0200805664062,121.04392147064209,0:02:01.043921
132000,1749628290.5739992,-409.76153564453125,136.9436776638031,0:02:16.943678
144000,1749628304.4067757,-168.7142791748047,150.77645421028137,0:02:30.776454
156000,1749628318.0302334,-45.645938873291016,164.39991188049316,0:02:44.399912
168000,1749628331.4961116,-54.832279205322266,177.86579012870789,0:02:57.865790
180000,1749628344.9363654,-40.966453552246094,191.3060438632965,0:03:11.306044
192000,1749628358.416304,-44.200504302978516,204.78598260879517,0:03:24.785983
204000,1749628372.1925435,-39.015018463134766,218.56222200393677,0:03:38.562222
216000,1749628385.6976428,-48.21509552001953,232.0673213005066,0:03:52.067321
228000,1749628399.1668386,-32.44221496582031,245.5365171432495,0:04:05.536517
240000,1749628412.4474955,-32.754398345947266,258.8171739578247,0:04:18.817174
252000,1749628425.7015452,-39.3173713684082,272.0712237358093,0:04:32.071224
264000,1749628439.128147,-32.510929107666016,285.49782538414,0:04:45.497825
276000,1749628452.6331797,-49.26313018798828,299.00285816192627,0:04:59.002858
288000,1749628466.1936185,-35.743675231933594,312.56329703330994,0:05:12.563297
300000,1749628479.7996104,-38.41012954711914,326.1692888736725,0:05:26.169289
312000,1749628493.4488142,-35.89650344848633,339.8184926509857,0:05:39.818493
324000,1749628506.9865339,-36.263607025146484,353.3562123775482,0:05:53.356212
336000,1749628520.819589,-38.169822692871094,367.1892673969269,0:06:07.189267
348000,1749628534.504346,-36.0413818359375,380.8740243911743,0:06:20.874024
360000,1749628547.973039,-28.97930335998535,394.3427174091339,0:06:34.342717
372000,1749628561.6337292,-38.20964050292969,408.0034077167511,0:06:48.003408
384000,1749628575.0212295,-32.486961364746094,421.3909080028534,0:07:01.390908
396000,1749628588.6319695,-41.55302047729492,435.00164794921875,0:07:15.001648
408000,1749628602.213219,-31.186485290527344,448.5828974246979,0:07:28.582897
420000,1749628616.1428323,-38.12732696533203,462.5125107765198,0:07:42.512511
432000,1749628629.9856915,-27.668752670288086,476.35537004470825,0:07:56.355370
444000,1749628643.3581142,-45.78985595703125,489.72779273986816,0:08:09.727793
456000,1749628657.0058181,-27.200462341308594,503.37549662590027,0:08:23.375497
468000,1749628670.539869,-31.49161720275879,516.9095475673676,0:08:36.909548
480000,1749628683.8351984,-27.624624252319336,530.2048768997192,0:08:50.204877
492000,1749628697.3065462,-37.28202438354492,543.6762247085571,0:09:03.676225
504000,1749628710.8164167,-26.254030227661133,557.1860952377319,0:09:17.186095
516000,1749628724.1453516,-35.58662033081055,570.5150301456451,0:09:30.515030
528000,1749628737.7803395,-23.09134864807129,584.1500179767609,0:09:44.150018
540000,1749628751.4696794,-25.183515548706055,597.8393578529358,0:09:57.839358
552000,1749628765.0272403,-17.330598831176758,611.3969187736511,0:10:11.396919
564000,1749628778.6997638,-23.516929626464844,625.0694422721863,0:10:25.069442
576000,1749628792.5828485,-17.652027130126953,638.9525270462036,0:10:38.952527
588000,1749628806.5596352,-21.575105667114258,652.929313659668,0:10:52.929314
600000,1749628820.3262637,-25.361494064331055,666.6959421634674,0:11:06.695942
612000,1749628833.9929395,-19.217361450195312,680.3626179695129,0:11:20.362618
624000,1749628848.0540934,-16.66854476928711,694.4237718582153,0:11:34.423772
636000,1749628861.8217182,-12.436894416809082,708.1913967132568,0:11:48.191397
648000,1749628875.436653,-14.616904258728027,721.8063313961029,0:12:01.806331
660000,1749628889.0156653,-12.254385948181152,735.3853437900543,0:12:15.385344
672000,1749628905.8636293,-15.79361343383789,752.2333078384399,0:12:32.233308
684000,1749628919.4190288,-18.54639434814453,765.7887072563171,0:12:45.788707
696000,1749628932.8549569,-13.986675262451172,779.2246353626251,0:12:59.224635
708000,1749628946.428535,-22.284568786621094,792.7982134819031,0:13:12.798213
720000,1749628959.985225,-11.451197624206543,806.354903459549,0:13:26.354903
732000,1749628973.774068,-12.4940767288208,820.1437466144562,0:13:40.143747
744000,1749628987.3727627,-13.421928405761719,833.7424411773682,0:13:53.742441
756000,1749629000.9098947,-10.642560958862305,847.2795732021332,0:14:07.279573
768000,1749629014.1568842,-5.527350425720215,860.5265626907349,0:14:20.526563
780000,1749629027.4459774,-11.122638702392578,873.8156559467316,0:14:33.815656
792000,1749629040.604557,-3.4491958618164062,886.974235534668,0:14:46.974236
804000,1749629054.0893636,-8.546847343444824,900.4590420722961,0:15:00.459042
816000,1749629067.5115948,-5.5452880859375,913.8812732696533,0:15:13.881273
828000,1749629080.8971822,-6.9429755210876465,927.2668607234955,0:15:27.266861
840000,1749629094.4117575,-3.6239945888519287,940.7814359664917,0:15:40.781436
852000,1749629107.8139372,-4.495849609375,954.1836156845093,0:15:54.183616
864000,1749629121.2942762,-2.102595329284668,967.6639547348022,0:16:07.663955
876000,1749629134.7669773,-2.7706797122955322,981.1366558074951,0:16:21.136656
888000,1749629148.0028963,-4.147403240203857,994.3725748062134,0:16:34.372575
900000,1749629161.6041734,-2.2693097591400146,1007.9738519191742,0:16:47.973852
912000,1749629174.923498,-3.4859039783477783,1021.2931764125824,0:17:01.293176
924000,1749629188.7366846,-2.8545165061950684,1035.1063630580902,0:17:15.106363
936000,1749629202.0421748,-1.516562581062317,1048.411853313446,0:17:28.411853
948000,1749629215.588438,-2.1550583839416504,1061.958116531372,0:17:41.958117
960000,1749629229.1773703,-2.4317657947540283,1075.5470488071442,0:17:55.547049
972000,1749629242.2457502,-1.939818024635315,1088.615428686142,0:18:08.615429
984000,1749629255.1232097,-0.5156697630882263,1101.492888212204,0:18:21.492888
996000,1749629268.3835406,-0.4470091164112091,1114.753219127655,0:18:34.753219
1008000,1749629282.0989466,-0.18542097508907318,1128.4686250686646,0:18:48.468625
1020000,1749629295.6364636,-1.5903352499008179,1142.0061421394348,0:19:02.006142
1032000,1749629309.059101,-0.5725055932998657,1155.4287796020508,0:19:15.428780
1044000,1749629322.6315005,-0.8617256283760071,1169.0011789798737,0:19:29.001179
1056000,1749629335.7282493,-0.2880152761936188,1182.0979278087616,0:19:42.097928
1068000,1749629349.078307,-0.22224825620651245,1195.4479854106903,0:19:55.447985
1080000,1749629362.592445,-0.3294740617275238,1208.9621233940125,0:20:08.962123
