step,wall_time,ep_len_mean,relative_seconds,relative_time
12000,1749631912.997608,24.0,0.0,0:00:00
24000,1749631926.104302,24.0,13.106693983078003,0:00:13.106694
36000,1749631940.5081534,24.0,27.51054549217224,0:00:27.510545
48000,1749631954.0381954,24.0,41.040587425231934,0:00:41.040587
60000,1749631968.360361,24.0,55.36275315284729,0:00:55.362753
72000,1749631981.892335,24.0,68.89472699165344,0:01:08.894727
84000,1749631996.5701182,24.0,83.57251024246216,0:01:23.572510
96000,1749632010.1024206,24.0,97.10481262207031,0:01:37.104813
108000,1749632023.5817833,24.0,110.58417534828186,0:01:50.584175
120000,1749632037.1904662,24.0,124.19285821914673,0:02:04.192858
132000,1749632050.6553652,24.0,137.65775728225708,0:02:17.657757
144000,1749632064.099712,24.0,151.10210394859314,0:02:31.102104
156000,1749632077.6628728,24.0,164.6652648448944,0:02:44.665265
168000,1749632091.4692976,24.0,178.47168970108032,0:02:58.471690
180000,1749632105.085199,24.0,192.08759117126465,0:03:12.087591
192000,1749632118.5101936,24.0,205.5125856399536,0:03:25.512586
204000,1749632131.9129975,24.0,218.91538953781128,0:03:38.915390
216000,1749632145.2669983,24.0,232.26939034461975,0:03:52.269390
228000,1749632158.7944624,24.0,245.7968544960022,0:04:05.796854
240000,1749632172.5309584,24.0,259.5333504676819,0:04:19.533350
252000,1749632186.4710407,24.0,273.47343277931213,0:04:33.473433
264000,1749632200.4129674,24.0,287.4153594970703,0:04:47.415359
276000,1749632214.3012905,24.0,301.3036825656891,0:05:01.303683
288000,1749632228.3292863,24.0,315.33167839050293,0:05:15.331678
300000,1749632242.2035825,24.0,329.2059745788574,0:05:29.205975
312000,1749632255.8130233,24.0,342.81541538238525,0:05:42.815415
324000,1749632269.3079798,24.0,356.31037187576294,0:05:56.310372
336000,1749632283.0375104,24.0,370.0399024486542,0:06:10.039902
348000,1749632296.4821494,24.0,383.4845414161682,0:06:23.484541
360000,1749632310.1582696,24.0,397.1606616973877,0:06:37.160662
372000,1749632323.810868,24.0,410.8132600784302,0:06:50.813260
384000,1749632337.599052,24.0,424.6014440059662,0:07:04.601444
396000,1749632351.2736456,24.0,438.2760376930237,0:07:18.276038
408000,1749632364.7658734,24.0,451.76826548576355,0:07:31.768265
420000,1749632378.690251,24.0,465.6926431655884,0:07:45.692643
432000,1749632392.1802816,24.0,479.18267369270325,0:07:59.182674
444000,1749632405.9833336,24.0,492.9857256412506,0:08:12.985726
456000,1749632419.5467675,24.0,506.54915952682495,0:08:26.549160
468000,1749632433.462128,24.0,520.4645199775696,0:08:40.464520
480000,1749632447.1935208,24.0,534.1959128379822,0:08:54.195913
492000,1749632460.9518566,24.0,547.9542486667633,0:09:07.954249
504000,1749632474.7074716,24.0,561.7098636627197,0:09:21.709864
516000,1749632488.0338273,24.0,575.0362193584442,0:09:35.036219
528000,1749632501.6154068,24.0,588.6177988052368,0:09:48.617799
540000,1749632515.0652359,24.0,602.0676279067993,0:10:02.067628
552000,1749632528.4829838,24.0,615.4853758811951,0:10:15.485376
564000,1749632541.925538,24.0,628.9279301166534,0:10:28.927930
576000,1749632555.4208462,24.0,642.4232382774353,0:10:42.423238
588000,1749632568.899253,24.0,655.9016449451447,0:10:55.901645
600000,1749632582.6189861,24.0,669.6213781833649,0:11:09.621378
612000,1749632596.3716586,24.0,683.374050617218,0:11:23.374051
624000,1749632609.6488311,24.0,696.6512231826782,0:11:36.651223
636000,1749632623.163769,24.0,710.1661610603333,0:11:50.166161
648000,1749632636.841345,24.0,723.8437371253967,0:12:03.843737
660000,1749632650.4395494,24.0,737.4419414997101,0:12:17.441941
672000,1749632663.83351,24.0,750.8359019756317,0:12:30.835902
684000,1749632677.4934952,24.0,764.4958872795105,0:12:44.495887
696000,1749632691.1236832,24.0,778.1260752677917,0:12:58.126075
708000,1749632704.918566,24.0,791.9209580421448,0:13:11.920958
720000,1749632718.563152,24.0,805.565544128418,0:13:25.565544
732000,1749632732.6517022,24.0,819.6540942192078,0:13:39.654094
744000,1749632746.303346,24.0,833.3057379722595,0:13:53.305738
756000,1749632759.8936949,24.0,846.8960869312286,0:14:06.896087
768000,1749632773.5008225,24.0,860.503214597702,0:14:20.503215
780000,1749632787.2194064,24.0,874.2217984199524,0:14:34.221798
792000,1749632801.0735488,24.0,888.0759408473969,0:14:48.075941
804000,1749632814.6721053,24.0,901.6744973659515,0:15:01.674497
816000,1749632828.3043883,24.0,915.3067803382874,0:15:15.306780
828000,1749632841.8516462,24.0,928.8540382385254,0:15:28.854038
840000,1749632855.5247755,24.0,942.52716755867,0:15:42.527168
852000,1749632869.1302454,24.0,956.1326375007629,0:15:56.132638
864000,1749632882.637781,24.0,969.640172958374,0:16:09.640173
876000,1749632896.3336132,24.0,983.3360052108765,0:16:23.336005
888000,1749632910.1360254,24.0,997.1384174823761,0:16:37.138417
900000,1749632924.2115772,24.0,1011.2139692306519,0:16:51.213969
912000,1749632937.8217318,24.0,1024.8241238594055,0:17:04.824124
924000,1749632952.1525283,24.0,1039.1549203395844,0:17:19.154920
936000,1749632966.4450576,24.0,1053.447449684143,0:17:33.447450
948000,1749632980.8652,24.0,1067.8675920963287,0:17:47.867592
960000,1749632994.8036668,24.0,1081.806058883667,0:18:01.806059
972000,1749633009.2310674,24.0,1096.2334594726562,0:18:16.233459
984000,1749633022.968786,24.0,1109.9711780548096,0:18:29.971178
996000,1749633036.9302473,24.0,1123.9326393604279,0:18:43.932639
1008000,1749633050.6991787,24.0,1137.7015707492828,0:18:57.701571
1020000,1749633064.5147333,24.0,1151.5171253681183,0:19:11.517125
1032000,1749633078.2118893,24.0,1165.214281320572,0:19:25.214281
1044000,1749633091.7904093,24.0,1178.7928013801575,0:19:38.792801
1056000,1749633105.3964708,24.0,1192.3988628387451,0:19:52.398863
1068000,1749633119.132787,24.0,1206.1351790428162,0:20:06.135179
1080000,1749633132.5730503,24.0,1219.575442314148,0:20:19.575442
1092000,1749633146.175736,24.0,1233.178128004074,0:20:33.178128
1104000,1749633159.6006815,24.0,1246.6030735969543,0:20:46.603074
1116000,1749633173.4456308,24.0,1260.4480228424072,0:21:00.448023
1128000,1749633186.8750713,24.0,1273.8774633407593,0:21:13.877463
1140000,1749633200.524382,24.0,1287.5267741680145,0:21:27.526774
1152000,1749633214.2657483,24.0,1301.2681403160095,0:21:41.268140
1164000,1749633227.9540737,24.0,1314.9564657211304,0:21:54.956466
1176000,1749633241.6504798,24.0,1328.6528718471527,0:22:08.652872
1188000,1749633255.1269972,24.0,1342.1293892860413,0:22:22.129389
1200000,1749633268.8905559,24.0,1355.8929479122162,0:22:35.892948
1212000,1749633282.367069,24.0,1369.3694610595703,0:22:49.369461
1224000,1749633295.956821,24.0,1382.9592130184174,0:23:02.959213
1236000,1749633309.6637218,24.0,1396.6661138534546,0:23:16.666114
1248000,1749633323.0489454,24.0,1410.051337480545,0:23:30.051337
1260000,1749633336.5474083,24.0,1423.5498003959656,0:23:43.549800
1272000,1749633350.0760474,24.0,1437.0784394741058,0:23:57.078439
1284000,1749633363.6640718,24.0,1450.6664638519287,0:24:10.666464
1296000,1749633377.208643,24.0,1464.2110350131989,0:24:24.211035
1308000,1749633390.4270751,24.0,1477.429467201233,0:24:37.429467
1320000,1749633404.0786505,24.0,1491.0810425281525,0:24:51.081043
1332000,1749633417.6693947,24.0,1504.6717867851257,0:25:04.671787
1344000,1749633431.356478,24.0,1518.3588700294495,0:25:18.358870
1356000,1749633444.910349,24.0,1531.912740945816,0:25:31.912741
1368000,1749633458.548364,24.0,1545.5507559776306,0:25:45.550756
1380000,1749633472.119554,24.0,1559.1219460964203,0:25:59.121946
1392000,1749633485.9634557,24.0,1572.9658477306366,0:26:12.965848
1404000,1749633499.2623777,24.0,1586.2647697925568,0:26:26.264770
1416000,1749633512.6565306,24.0,1599.6589226722717,0:26:39.658923
1428000,1749633526.0989811,24.0,1613.1013731956482,0:26:53.101373
1440000,1749633539.6655245,24.0,1626.6679165363312,0:27:06.667917
1452000,1749633553.1042633,24.0,1640.1066553592682,0:27:20.106655
1464000,1749633566.6504974,24.0,1653.6528894901276,0:27:33.652889
1476000,1749633580.1114368,24.0,1667.1138288974762,0:27:47.113829
1488000,1749633593.325632,24.0,1680.328024148941,0:28:00.328024
1500000,1749633607.201649,24.0,1694.204041004181,0:28:14.204041
1512000,1749633620.772695,24.0,1707.7750871181488,0:28:27.775087
1524000,1749633634.379224,24.0,1721.38161611557,0:28:41.381616
1536000,1749633648.0719874,24.0,1735.0743794441223,0:28:55.074379
1548000,1749633661.9189098,24.0,1748.9213018417358,0:29:08.921302
1560000,1749633675.551195,24.0,1762.5535869598389,0:29:22.553587
1572000,1749633689.59548,24.0,1776.597872018814,0:29:36.597872
1584000,1749633703.5661938,24.0,1790.5685858726501,0:29:50.568586
1596000,1749633717.8365288,24.0,1804.8389208316803,0:30:04.838921
1608000,1749633731.4919112,24.0,1818.494303226471,0:30:18.494303
1620000,1749633745.1149688,24.0,1832.117360830307,0:30:32.117361
1632000,1749633758.7947338,24.0,1845.7971258163452,0:30:45.797126
1644000,1749633772.6296363,24.0,1859.6320283412933,0:30:59.632028
1656000,1749633786.645088,24.0,1873.6474800109863,0:31:13.647480
1668000,1749633800.4712055,24.0,1887.4735975265503,0:31:27.473598
1680000,1749633816.187396,24.0,1903.1897881031036,0:31:43.189788
1692000,1749633829.7228513,24.0,1916.7252433300018,0:31:56.725243
1704000,1749633843.5582864,24.0,1930.5606784820557,0:32:10.560678
1716000,1749633857.256634,24.0,1944.2590260505676,0:32:24.259026
1728000,1749633871.1036267,24.0,1958.106018781662,0:32:38.106019
1740000,1749633885.1885784,24.0,1972.1909704208374,0:32:52.190970
1752000,1749633899.2888155,24.0,1986.2912075519562,0:33:06.291208
1764000,1749633913.5722446,24.0,2000.5746366977692,0:33:20.574637
1776000,1749633927.2400706,24.0,2014.2424626350403,0:33:34.242463
1788000,1749633940.880498,24.0,2027.8828899860382,0:33:47.882890
1800000,1749633954.6636453,24.0,2041.6660373210907,0:34:01.666037
1812000,1749633968.332219,24.0,2055.334610939026,0:34:15.334611
1824000,1749633981.9848714,24.0,2068.987263441086,0:34:28.987263
1836000,1749633995.3429747,24.0,2082.345366716385,0:34:42.345367
1848000,1749634009.053123,24.0,2096.055515050888,0:34:56.055515
1860000,1749634023.729584,24.0,2110.731976032257,0:35:10.731976
1872000,1749634037.6502366,24.0,2124.652628660202,0:35:24.652629
1884000,1749634051.3373299,24.0,2138.339721918106,0:35:38.339722
1896000,1749634064.873747,24.0,2151.876139163971,0:35:51.876139
1908000,1749634078.5408006,24.0,2165.543192625046,0:36:05.543193
1920000,1749634092.4045427,24.0,2179.406934738159,0:36:19.406935
1932000,1749634105.7959778,24.0,2192.798369884491,0:36:32.798370
1944000,1749634119.3568294,24.0,2206.359221458435,0:36:46.359221
1956000,1749634133.52126,24.0,2220.523652076721,0:37:00.523652
1968000,1749634147.269747,24.0,2234.272139072418,0:37:14.272139
1980000,1749634160.8955731,24.0,2247.897965192795,0:37:27.897965
1992000,1749634174.4590895,24.0,2261.4614815711975,0:37:41.461482
2004000,1749634188.1511824,24.0,2275.1535744667053,0:37:55.153574
2016000,1749634201.8804023,24.0,2288.882794380188,0:38:08.882794
2028000,1749634215.4465327,24.0,2302.448924779892,0:38:22.448925
2040000,1749634228.9292185,24.0,2315.931610584259,0:38:35.931611
2052000,1749634242.3840656,24.0,2329.386457681656,0:38:49.386458
2064000,1749634256.0290594,24.0,2343.0314514636993,0:39:03.031451
2076000,1749634269.5957348,24.0,2356.598126888275,0:39:16.598127
2088000,1749634282.9762185,24.0,2369.9786105155945,0:39:29.978611
2100000,1749634296.3729687,24.0,2383.37536072731,0:39:43.375361
2112000,1749634309.9118671,24.0,2396.9142591953278,0:39:56.914259
2124000,1749634323.79051,24.0,2410.792901992798,0:40:10.792902
2136000,1749634337.568537,24.0,2424.5709290504456,0:40:24.570929
2148000,1749634351.1017885,24.0,2438.104180574417,0:40:38.104181
2160000,1749634364.6362658,24.0,2451.638657808304,0:40:51.638658
2172000,1749634377.9708467,24.0,2464.9732387065887,0:41:04.973239
2184000,1749634391.7728403,24.0,2478.7752323150635,0:41:18.775232
2196000,1749634405.171372,24.0,2492.173763990402,0:41:32.173764
2208000,1749634418.6802216,24.0,2505.6826136112213,0:41:45.682614
2220000,1749634434.7953732,24.0,2521.7977652549744,0:42:01.797765
2232000,1749634449.015247,24.0,2536.0176391601562,0:42:16.017639
2244000,1749634462.691719,24.0,2549.69411110878,0:42:29.694111
2256000,1749634476.8398046,24.0,2563.842196702957,0:42:43.842197
2268000,1749634490.4726663,24.0,2577.4750583171844,0:42:57.475058
2280000,1749634504.1115603,24.0,2591.1139523983,0:43:11.113952
2292000,1749634517.5655143,24.0,2604.5679063796997,0:43:24.567906
2304000,1749634531.2210999,24.0,2618.2234919071198,0:43:38.223492
2316000,1749634544.5695705,24.0,2631.571962594986,0:43:51.571963
2328000,1749634558.1334643,24.0,2645.1358563899994,0:44:05.135856
2340000,1749634571.6786335,24.0,2658.681025505066,0:44:18.681026
2352000,1749634585.4089038,24.0,2672.411295890808,0:44:32.411296
2364000,1749634598.9541407,24.0,2685.956532716751,0:44:45.956533
2376000,1749634612.7758312,24.0,2699.7782232761383,0:44:59.778223
2388000,1749634626.8294413,24.0,2713.8318333625793,0:45:13.831833
2400000,1749634640.3159308,24.0,2727.3183228969574,0:45:27.318323
2412000,1749634653.9672954,24.0,2740.969687461853,0:45:40.969687
2424000,1749634667.6690953,24.0,2754.6714873313904,0:45:54.671487
2436000,1749634681.2428744,24.0,2768.2452664375305,0:46:08.245266
