step,wall_time,train_explained_variance,relative_seconds,relative_time
24000,1749631925.8890276,1.2993812561035156e-05,0.0,0:00:00
36000,1749631940.3082492,-3.6954879760742188e-06,14.419221639633179,0:00:14.419222
48000,1749631953.8667827,3.0994415283203125e-06,27.977755069732666,0:00:27.977755
60000,1749631968.1543887,1.1920928955078125e-06,42.265361070632935,0:00:42.265361
72000,1749631981.6747677,3.5762786865234375e-07,55.78574013710022,0:00:55.785740
84000,1749631996.3532615,0.0,70.46423387527466,0:01:10.464234
96000,1749632009.898024,1.7881393432617188e-07,84.00899648666382,0:01:24.008996
108000,1749632023.3829072,0.0,97.49387955665588,0:01:37.493880
120000,1749632037.0164423,1.7881393432617188e-07,111.12741470336914,0:01:51.127415
132000,1749632050.4785519,1.1920928955078125e-07,124.589524269104,0:02:04.589524
144000,1749632063.9174018,1.1920928955078125e-07,138.02837419509888,0:02:18.028374
156000,1749632077.45169,-1.1920928955078125e-07,151.56266236305237,0:02:31.562662
168000,1749632091.2434113,0.0,165.3543837070465,0:02:45.354384
180000,1749632104.8946946,0.0,179.00566697120667,0:02:59.005667
192000,1749632118.3260489,0.0,192.43702125549316,0:03:12.437021
204000,1749632131.8009,1.7881393432617188e-07,205.91187238693237,0:03:25.911872
216000,1749632145.1711366,-1.1920928955078125e-07,219.2821090221405,0:03:39.282109
228000,1749632158.6851437,-1.1920928955078125e-07,232.79611611366272,0:03:52.796116
240000,1749632172.4175403,0.0,246.52851271629333,0:04:06.528513
252000,1749632186.369098,0.0,260.4800703525543,0:04:20.480070
264000,1749632200.3159332,0.0,274.42690563201904,0:04:34.426906
276000,1749632214.2038343,-1.1920928955078125e-07,288.3148066997528,0:04:48.314807
288000,1749632228.2229645,1.1920928955078125e-07,302.33393692970276,0:05:02.333937
300000,1749632242.1066027,-1.1920928955078125e-07,316.2175750732422,0:05:16.217575
312000,1749632255.6989417,0.0,329.80991411209106,0:05:29.809914
324000,1749632269.2106156,0.0,343.3215880393982,0:05:43.321588
336000,1749632282.9388325,0.0,357.0498049259186,0:05:57.049805
348000,1749632296.386316,0.0,370.4972884654999,0:06:10.497288
360000,1749632310.0613327,0.0,384.1723051071167,0:06:24.172305
372000,1749632323.7157083,5.960464477539063e-08,397.8266806602478,0:06:37.826681
384000,1749632337.4984968,0.0,411.60946917533875,0:06:51.609469
396000,1749632351.1799839,0.0,425.2909562587738,0:07:05.290956
408000,1749632364.6718953,5.960464477539063e-08,438.7828676700592,0:07:18.782868
420000,1749632378.5922272,2.384185791015625e-07,452.70319962501526,0:07:32.703200
432000,1749632392.0836923,1.1920928955078125e-07,466.1946647167206,0:07:46.194665
444000,1749632405.882447,0.0,479.9934194087982,0:07:59.993419
456000,1749632419.4456184,0.0,493.55659079551697,0:08:13.556591
468000,1749632433.3671153,-1.1920928955078125e-07,507.4780876636505,0:08:27.478088
480000,1749632447.0988562,0.0,521.2098286151886,0:08:41.209829
492000,1749632460.8554754,5.960464477539063e-08,534.9664478302002,0:08:54.966448
504000,1749632474.5934207,-1.1920928955078125e-07,548.7043931484222,0:09:08.704393
516000,1749632487.9376726,0.0,562.0486450195312,0:09:22.048645
528000,1749632501.5142076,1.1920928955078125e-07,575.6251800060272,0:09:35.625180
540000,1749632514.969699,-2.384185791015625e-07,589.0806713104248,0:09:49.080671
552000,1749632528.3878276,-1.1920928955078125e-07,602.4988000392914,0:10:02.498800
