"Time","P","SOC"
2023-01-01 00:00:00,-11.2,48.1
2023-01-01 01:00:00,-50.5,54.2
2023-01-01 02:00:00,-38.9,60.2
2023-01-01 03:00:00,-43.1,66.2
2023-01-01 04:00:00,-33.4,72.1
2023-01-01 05:00:00,-30.5,76.1
2023-01-01 06:00:00,-57.4,83.1
2023-01-01 07:00:00,17.6,88.2
2023-01-01 08:00:00,61.6,80.3
2023-01-01 09:00:00,-55.4,78.9
2023-01-01 10:00:00,-10.1,87.4
2023-01-01 11:00:00,69.1,80.1
2023-01-01 12:00:00,43.3,70.7
2023-01-01 13:00:00,-66.0,70.9
2023-01-01 14:00:00,-67.4,83.8
2023-01-01 15:00:00,28.3,88.3
2023-01-01 16:00:00,43.8,79.4
2023-01-01 17:00:00,-2.86,77.9
2023-01-01 18:00:00,31.0,74.5
2023-01-01 19:00:00,97.4,62.9
2023-01-01 20:00:00,62.8,49.6
2023-01-01 21:00:00,23.9,41.1
2023-01-01 22:00:00,-83.6,46.7
2023-01-01 23:00:00,-32.6,59.2
2023-01-02 00:00:00,8.97,59.5
2023-01-02 01:00:00,-66.6,63.1
2023-01-02 02:00:00,-74.4,75.7
2023-01-02 03:00:00,-55.9,89.9
2023-01-02 04:00:00,40.2,89.3
2023-01-02 05:00:00,52.8,81.1
2023-01-02 06:00:00,62.2,70.5
2023-01-02 07:00:00,-25.7,64.3
2023-01-02 08:00:00,-62.0,74.9
2023-01-02 09:00:00,-42.9,85.4
2023-01-02 10:00:00,53.4,84.1
2023-01-02 11:00:00,24.6,74.2
2023-01-02 12:00:00,-60.1,80.1
2023-01-02 13:00:00,19.3,86.4
2023-01-02 14:00:00,58.6,76.7
2023-01-02 15:00:00,40.6,62.8
2023-01-02 16:00:00,-60.4,68.0
2023-01-02 17:00:00,12.7,74.6
2023-01-02 18:00:00,-35.6,73.6
2023-01-02 19:00:00,-64.0,86.0
2023-01-02 20:00:00,17.4,93.5
2023-01-02 21:00:00,63.0,82.2
2023-01-02 22:00:00,-71.3,82.1
2023-01-02 23:00:00,-28.8,95.1
2023-01-03 00:00:00,58.0,88.8
2023-01-03 01:00:00,44.3,77.9
2023-01-03 02:00:00,36.0,69.5
2023-01-03 03:00:00,39.1,61.3
2023-01-03 04:00:00,43.4,52.5
2023-01-03 05:00:00,13.4,42.3
2023-01-03 06:00:00,-93.3,53.3
2023-01-03 07:00:00,-46.3,72.2
2023-01-03 08:00:00,-53.1,81.8
2023-01-03 09:00:00,23.9,88.0
2023-01-03 10:00:00,47.7,76.3
2023-01-03 11:00:00,42.5,65.5
2023-01-03 12:00:00,46.2,55.2
2023-01-03 13:00:00,23.2,43.4
2023-01-03 14:00:00,-59.7,50.6
2023-01-03 15:00:00,-63.2,66.4
2023-01-03 16:00:00,-52.6,81.7
2023-01-03 17:00:00,64.7,79.1
2023-01-03 18:00:00,29.7,68.3
2023-01-03 19:00:00,53.3,54.9
2023-01-03 20:00:00,-45.2,53.0
2023-01-03 21:00:00,-69.2,69.8
2023-01-03 22:00:00,-56.4,88.7
2023-01-03 23:00:00,41.5,88.4
2023-01-04 00:00:00,36.5,78.0
2023-01-04 01:00:00,53.8,64.6
2023-01-04 02:00:00,47.5,50.4
2023-01-04 03:00:00,21.1,37.2
2023-01-04 04:00:00,-44.2,43.7
2023-01-04 05:00:00,-41.7,55.4
2023-01-04 06:00:00,-42.2,68.8
2023-01-04 07:00:00,-45.7,81.8
2023-01-04 08:00:00,15.1,91.0
2023-01-04 09:00:00,58.1,73.9
2023-01-04 10:00:00,46.0,57.5
2023-01-04 11:00:00,35.6,43.1
2023-01-04 12:00:00,39.4,32.2
2023-01-04 13:00:00,60.1,14.5
2023-01-04 14:00:00,83.8,5.80
2023-01-04 15:00:00,75.6,4.69
2023-01-04 16:00:00,61.9,4.05
2023-01-04 17:00:00,51.8,3.63
2023-01-04 18:00:00,50.8,3.32
2023-01-04 19:00:00,30.0,3.12
2023-01-04 20:00:00,17.8,3
2023-01-04 21:00:00,24.1,2.94
2023-01-04 22:00:00,13.9,2.85
2023-01-04 23:00:00,11.1,2.80
2023-01-05 00:00:00,8.79,2.80
2023-01-05 01:00:00,15.2,2.79
2023-01-05 02:00:00,14.1,2.70
2023-01-05 03:00:00,21.3,2.68
2023-01-05 04:00:00,32.2,2.56
2023-01-05 05:00:00,29.3,2.48
2023-01-05 06:00:00,9.45,2.40
2023-01-05 07:00:00,16.2,2.40
2023-01-05 08:00:00,35.3,2.32
2023-01-05 09:00:00,58.1,2.20
2023-01-05 10:00:00,44.2,2.07
2023-01-05 11:00:00,8.93,2
2023-01-05 12:00:00,6.66,2
2023-01-05 13:00:00,0,2
2023-01-05 14:00:00,0,0.820
2023-01-05 15:00:00,-73.0,1.42
2023-01-05 16:00:00,-41.8,4.96
2023-01-05 17:00:00,23.7,6.16
2023-01-05 18:00:00,-54.5,6.31
2023-01-05 19:00:00,-72.5,9.95
2023-01-05 20:00:00,-88.7,14.2
2023-01-05 21:00:00,-76.7,19.0
2023-01-05 22:00:00,-72.7,22.9
2023-01-05 23:00:00,-70.3,26.6
2023-01-06 00:00:00,-71.3,30.4
2023-01-06 01:00:00,-64.7,34.1
2023-01-06 02:00:00,-65.0,37.4
2023-01-06 03:00:00,-63.7,41.0
2023-01-06 04:00:00,-63.9,44.3
2023-01-06 05:00:00,-72.5,48.1
2023-01-06 06:00:00,-63.3,51.6
2023-01-06 07:00:00,-65.8,55.0
2023-01-06 08:00:00,-64.0,58.4
2023-01-06 09:00:00,-52.2,61.1
2023-01-06 10:00:00,-63.7,64.3
2023-01-06 11:00:00,-63.4,67.2
2023-01-06 12:00:00,-65.2,70.6
2023-01-06 13:00:00,-58.3,73.9
2023-01-06 14:00:00,-49.8,76.6
2023-01-06 15:00:00,-53.1,79.4
2023-01-06 16:00:00,-40.5,82.0
2023-01-06 17:00:00,35.4,82.8
2023-01-06 18:00:00,41.6,79.8
2023-01-06 19:00:00,-13.1,79.0
2023-01-06 20:00:00,-65.3,81.6
2023-01-06 21:00:00,-68.8,85.1
2023-01-06 22:00:00,-72.5,89.0
2023-01-06 23:00:00,-60.8,92.7
2023-01-07 00:00:00,51.3,92.9
2023-01-07 01:00:00,43.9,90.2
2023-01-07 02:00:00,41.5,87.9
2023-01-07 03:00:00,33.8,85.9
2023-01-07 04:00:00,45.9,83.9
2023-01-07 05:00:00,48.6,81.2
2023-01-07 06:00:00,60.8,78.4
2023-01-07 07:00:00,35.1,75.1
2023-01-07 08:00:00,-41.6,75.8
2023-01-07 09:00:00,-51.6,78.4
2023-01-07 10:00:00,-70.2,82.0
2023-01-07 11:00:00,-34.5,85.7
2023-01-07 12:00:00,57.1,84.4
2023-01-07 13:00:00,-40.4,84.3
2023-01-07 14:00:00,64.3,83.5
2023-01-07 15:00:00,73.3,79.8
2023-01-07 16:00:00,96.9,74.4
