"Time","Gen 1&2&3","Gen 4,5","PV","Wind"
2023-01-01 00:00:00,0,0,0,166
2023-01-01 01:00:00,0,0,0,182
2023-01-01 02:00:00,0,0,0,164
2023-01-01 03:00:00,0,0,0,165
2023-01-01 04:00:00,0,0,0,164
2023-01-01 05:00:00,0,0,0,172
2023-01-01 06:00:00,0,0,0.254,226
2023-01-01 07:00:00,0,0,0,179
2023-01-01 08:00:00,0,0,0,133
2023-01-01 09:00:00,0,0,0,264
2023-01-01 10:00:00,0,0,0,204
2023-01-01 11:00:00,0,0,0,116
2023-01-01 12:00:00,0,0,0,116
2023-01-01 13:00:00,0,0,0,221
2023-01-01 14:00:00,0,0,0,231
2023-01-01 15:00:00,0,0,0,170
2023-01-01 16:00:00,0,0,0,213
2023-01-01 17:00:00,0,0,0,295
2023-01-01 18:00:00,0,0,0,231
2023-01-01 19:00:00,0,0,0,147
2023-01-01 20:00:00,0,0,0,159
2023-01-01 21:00:00,0,0,0,187
2023-01-01 22:00:00,0,0,0,268
2023-01-01 23:00:00,0,0,0,203
2023-01-02 00:00:00,0,0,0,145
2023-01-02 01:00:00,0,0,0,205
2023-01-02 02:00:00,0,0,0,203
2023-01-02 03:00:00,0,0,0,182
2023-01-02 04:00:00,0,0,0,97.4
2023-01-02 05:00:00,0,0,0,98.2
2023-01-02 06:00:00,0,0,0.0169,109
2023-01-02 07:00:00,0,0,0,208
2023-01-02 08:00:00,0,0,0,249
2023-01-02 09:00:00,0,0,0,265
2023-01-02 10:00:00,0,0,0,161
2023-01-02 11:00:00,0,0,0,170
2023-01-02 12:00:00,0,0,0,235
2023-01-02 13:00:00,0,0,0,148
2023-01-02 14:00:00,0,0,0,129
2023-01-02 15:00:00,0,0,0,178
2023-01-02 16:00:00,0,0,0,340
2023-01-02 17:00:00,0,0,0,309
2023-01-02 18:00:00,0,0,0,319
2023-01-02 19:00:00,0,0,0,310
2023-01-02 20:00:00,0,0,0,212
2023-01-02 21:00:00,0,0,0,164
2023-01-02 22:00:00,0,0,0,270
2023-01-02 23:00:00,0,0,0,202
2023-01-03 00:00:00,0,0,0,106
2023-01-03 01:00:00,0,0,0,102
2023-01-03 02:00:00,0,0,0,97.6
2023-01-03 03:00:00,0,0,0,97.7
2023-01-03 04:00:00,0,0,0,97.2
2023-01-03 05:00:00,0,0,0,146
2023-01-03 06:00:00,0,0,0,278
2023-01-03 07:00:00,0,0,0,239
2023-01-03 08:00:00,0,0,0,252
2023-01-03 09:00:00,0,0,0,225
2023-01-03 10:00:00,0,0,0,194
2023-01-03 11:00:00,0,0,0,187
2023-01-03 12:00:00,0,0,0,160
2023-01-03 13:00:00,0,0,0,187
2023-01-03 14:00:00,0,0,0,288
2023-01-03 15:00:00,0,0,0,306
2023-01-03 16:00:00,0,0,0,315
2023-01-03 17:00:00,0,0,0,293
2023-01-03 18:00:00,0,0,0,297
2023-01-03 19:00:00,0,0,0,223
2023-01-03 20:00:00,0,0,0,297
2023-01-03 21:00:00,0,0,0,305
2023-01-03 22:00:00,0,0,0,259
2023-01-03 23:00:00,0,0,0,136
2023-01-04 00:00:00,0,0,0,128
2023-01-04 01:00:00,0,0,0,97.4
2023-01-04 02:00:00,0,0,0,97.7
2023-01-04 03:00:00,0,0,0,126
2023-01-04 04:00:00,0,0,0,204
2023-01-04 05:00:00,0,0,0,227
2023-01-04 06:00:00,0,0,0,252
2023-01-04 07:00:00,0,0,0,246
2023-01-04 08:00:00,0,0,0,210
2023-01-04 09:00:00,0,0,0,187
2023-01-04 10:00:00,0,0,0,192
2023-01-04 11:00:00,0,0,0,171
2023-01-04 12:00:00,0,0,0,136
2023-01-04 13:00:00,0,0,0,111
2023-01-04 14:00:00,0,0,0,99.5
2023-01-04 15:00:00,0,0,0,134
2023-01-04 16:00:00,0,0,0,190
2023-01-04 17:00:00,0,0,0,242
2023-01-04 18:00:00,0,0,0,222
2023-01-04 19:00:00,0,0,0,202
2023-01-04 20:00:00,0,0,0,193
2023-01-04 21:00:00,0,0,0,161
2023-01-04 22:00:00,0,0,0,154
2023-01-04 23:00:00,0,0,0,146
2023-01-05 00:00:00,0,0,0,137
2023-01-05 01:00:00,0,0,0,113
2023-01-05 02:00:00,0,0,0,111
2023-01-05 03:00:00,0,0,0,97.1
2023-01-05 04:00:00,0,0,0,100
2023-01-05 05:00:00,0,0,0,120
2023-01-05 06:00:00,0,0,0,154
2023-01-05 07:00:00,0,0,0,153
2023-01-05 08:00:00,0,0,0,139
2023-01-05 09:00:00,0,0,0,130
2023-01-05 10:00:00,0,0,0,154
