"Time","P","ir"
2023-01-01 00:00:00,0,0
2023-01-01 01:00:00,0,0
2023-01-01 02:00:00,0,0
2023-01-01 03:00:00,0,0
2023-01-01 04:00:00,0,0
2023-01-01 05:00:00,0,0
2023-01-01 06:00:00,0.254,7.41
2023-01-01 07:00:00,0,94.2
2023-01-01 08:00:00,0,214
2023-01-01 09:00:00,0,434
2023-01-01 10:00:00,0,574
2023-01-01 11:00:00,0,499
2023-01-01 12:00:00,0,481
2023-01-01 13:00:00,0,388
2023-01-01 14:00:00,0,242
2023-01-01 15:00:00,0,137
2023-01-01 16:00:00,0,45.7
2023-01-01 17:00:00,0,2.21
2023-01-01 18:00:00,0,0
2023-01-01 19:00:00,0,0
2023-01-01 20:00:00,0,0
2023-01-01 21:00:00,0,0
2023-01-01 22:00:00,0,0
2023-01-01 23:00:00,0,0
2023-01-02 00:00:00,0,0
2023-01-02 01:00:00,0,0
2023-01-02 02:00:00,0,0
2023-01-02 03:00:00,0,0
2023-01-02 04:00:00,0,0
2023-01-02 05:00:00,0,0
2023-01-02 06:00:00,0.0169,2.10
2023-01-02 07:00:00,0,22.2
2023-01-02 08:00:00,0,64.3
2023-01-02 09:00:00,0,93
2023-01-02 10:00:00,0,137
2023-01-02 11:00:00,0,99.4
2023-01-02 12:00:00,0,90.6
2023-01-02 13:00:00,0,59.5
2023-01-02 14:00:00,0,48.7
2023-01-02 15:00:00,0,36.0
2023-01-02 16:00:00,0,10.1
2023-01-02 17:00:00,0,0.356
2023-01-02 18:00:00,0,0
2023-01-02 19:00:00,0,0
2023-01-02 20:00:00,0,0
2023-01-02 21:00:00,0,0
2023-01-02 22:00:00,0,0
2023-01-02 23:00:00,0,0
2023-01-03 00:00:00,0,0
2023-01-03 01:00:00,0,0
2023-01-03 02:00:00,0,0
2023-01-03 03:00:00,0,0
2023-01-03 04:00:00,0,0
2023-01-03 05:00:00,0,0
2023-01-03 06:00:00,0,1.10
2023-01-03 07:00:00,0,13.7
2023-01-03 08:00:00,0,33.8
2023-01-03 09:00:00,0,54.4
2023-01-03 10:00:00,0,85.9
2023-01-03 11:00:00,0,165
2023-01-03 12:00:00,0,162
2023-01-03 13:00:00,0,107
2023-01-03 14:00:00,0,96.3
2023-01-03 15:00:00,0,128
2023-01-03 16:00:00,0,70
2023-01-03 17:00:00,0,1.69
2023-01-03 18:00:00,0,0
2023-01-03 19:00:00,0,0
2023-01-03 20:00:00,0,0
2023-01-03 21:00:00,0,0
2023-01-03 22:00:00,0,0
2023-01-03 23:00:00,0,0
2023-01-04 00:00:00,0,0
2023-01-04 01:00:00,0,0
2023-01-04 02:00:00,0,0
2023-01-04 03:00:00,0,0
2023-01-04 04:00:00,0,0
2023-01-04 05:00:00,0,0
2023-01-04 06:00:00,0,1.24
2023-01-04 07:00:00,0,20.4
2023-01-04 08:00:00,0,82.7
2023-01-04 09:00:00,0,181
2023-01-04 10:00:00,0,198
2023-01-04 11:00:00,0,129
2023-01-04 12:00:00,0,88.2
2023-01-04 13:00:00,0,75.0
2023-01-04 14:00:00,0,69.9
2023-01-04 15:00:00,0,54.3
2023-01-04 16:00:00,0,19.1
2023-01-04 17:00:00,0,1.48
2023-01-04 18:00:00,0,0
2023-01-04 19:00:00,0,0
2023-01-04 20:00:00,0,0
2023-01-04 21:00:00,0,0
2023-01-04 22:00:00,0,0
2023-01-04 23:00:00,0,0
2023-01-05 00:00:00,0,0
2023-01-05 01:00:00,0,0
2023-01-05 02:00:00,0,0
2023-01-05 03:00:00,0,0
2023-01-05 04:00:00,0,0
2023-01-05 05:00:00,0,0
2023-01-05 06:00:00,0,5.05
2023-01-05 07:00:00,0,83
2023-01-05 08:00:00,0,264
2023-01-05 09:00:00,0,505
2023-01-05 10:00:00,0,725
2023-01-05 11:00:00,8.41,780
2023-01-05 12:00:00,24.2,637
2023-01-05 13:00:00,29.7,501
2023-01-05 14:00:00,55.7,321
2023-01-05 15:00:00,15.5,176
2023-01-05 16:00:00,0,71.1
2023-01-05 17:00:00,0,6.14
2023-01-05 18:00:00,0,0
2023-01-05 19:00:00,0,0
2023-01-05 20:00:00,0,0
2023-01-05 21:00:00,0,0
2023-01-05 22:00:00,0,0
2023-01-05 23:00:00,0,0
2023-01-06 00:00:00,0,0
2023-01-06 01:00:00,0,0
2023-01-06 02:00:00,0,0
2023-01-06 03:00:00,0,0
2023-01-06 04:00:00,0,0
2023-01-06 05:00:00,0,0
2023-01-06 06:00:00,0,6.84
2023-01-06 07:00:00,0,85.5
2023-01-06 08:00:00,0,199
2023-01-06 09:00:00,0,203
2023-01-06 10:00:00,0,312
2023-01-06 11:00:00,0,336
2023-01-06 12:00:00,0,369
2023-01-06 13:00:00,0,416
2023-01-06 14:00:00,0,410
2023-01-06 15:00:00,0,183
2023-01-06 16:00:00,0,61.4
2023-01-06 17:00:00,0,4.24
2023-01-06 18:00:00,0,0
2023-01-06 19:00:00,0,0
2023-01-06 20:00:00,0,0
2023-01-06 21:00:00,0,0
2023-01-06 22:00:00,0,0
2023-01-06 23:00:00,0,0
2023-01-07 00:00:00,0,0
2023-01-07 01:00:00,0,0
2023-01-07 02:00:00,0,0
2023-01-07 03:00:00,0,0
2023-01-07 04:00:00,0,0
2023-01-07 05:00:00,0,0
2023-01-07 06:00:00,0.869,11.9
2023-01-07 07:00:00,0,144
2023-01-07 08:00:00,0,377
2023-01-07 09:00:00,0,451
2023-01-07 10:00:00,0,454
2023-01-07 11:00:00,46.1,648
2023-01-07 12:00:00,137,698
2023-01-07 13:00:00,158,655
2023-01-07 14:00:00,137,457
2023-01-07 15:00:00,134,308
2023-01-07 16:00:00,31.9,69.8
2023-01-07 17:00:00,0,4.26
2023-01-07 18:00:00,0,0
2023-01-07 19:00:00,0,0
2023-01-07 20:00:00,0,0
2023-01-07 21:00:00,0,0
2023-01-07 22:00:00,0,0
2023-01-07 23:00:00,0,0
2023-01-08 00:00:00,0,0
2023-01-08 01:00:00,0,0
2023-01-08 02:00:00,0,0
2023-01-08 03:00:00,0,0
2023-01-08 04:00:00,0,0
2023-01-08 05:00:00,0,0
2023-01-08 06:00:00,0.0202,2.44
2023-01-08 07:00:00,1.82,22.0
2023-01-08 08:00:00,0,77.1
2023-01-08 09:00:00,0,66.5
