"Time","air temp","humidity","irrad global horizontal","irrad plant of array","pressure","rain fall","temp 1","temp 2","temp 3","wind direction","wind speed"
2023-01-01 00:00:00,17.6,66.5,0,0,1022,0,15.2,14.9,-40,287,1.42
2023-01-01 01:00:00,17.2,66.6,0,0,1021,0,14.9,14.7,-40,284,1.44
2023-01-01 02:00:00,17.0,66.9,0,0,1021,0,14.8,14.6,-40,292,1.68
2023-01-01 03:00:00,16.8,66.3,0,0,1020,0,14.7,14.5,-40,276,1.63
2023-01-01 04:00:00,16.8,66.3,0,0,1021,0,14.8,14.6,-40,282,1.49
2023-01-01 05:00:00,16.7,67.8,0,0,1022,0,15.2,15.0,-40,296,1.36
2023-01-01 06:00:00,16.8,68.7,7.41,7.02,1022,0,15.9,15.8,-40,298,1.22
2023-01-01 07:00:00,17.1,69.5,94.2,81.6,1023,0,17.9,18.1,-40,290,1.63
2023-01-01 08:00:00,17.7,67.7,214,188,1023,0,21.8,22.8,-40,285,1.32
2023-01-01 09:00:00,18.6,66.0,434,359,1023,0,27.2,29.2,-40,293,1.53
2023-01-01 10:00:00,19.5,63.7,574,440,1023,0,32.4,35.4,-40,289,1.66
2023-01-01 11:00:00,19.4,63.3,499,410,1022,0,30.9,33.5,-40,296,1.56
2023-01-01 12:00:00,19.5,61.8,481,423,1021,0,31.0,33.7,-40,299,1.69
2023-01-01 13:00:00,19.3,61.9,388,355,1020,0,28.9,31.6,-40,295,1.29
2023-01-01 14:00:00,18.9,63.3,242,226,1019,0,25.2,27.1,-40,304,1.34
2023-01-01 15:00:00,18.4,65.7,137,128,1019,0,21.3,22.1,-40,308,1.24
2023-01-01 16:00:00,18.2,65.2,45.7,43.3,1019,0,19.1,19.4,-40,298,1.33
2023-01-01 17:00:00,18.0,66.8,2.21,2.12,1020,0,17.2,17.2,-40,273,1.05
2023-01-01 18:00:00,18.1,69.8,0,0,1021,0,17.2,17.1,-40,287,0.717
2023-01-01 19:00:00,18.3,71.2,0,0,1021,0,17.3,17.2,-40,290,0.814
2023-01-01 20:00:00,18.3,72.9,0,0,1022,0,16.9,16.7,-40,269,0.678
2023-01-01 21:00:00,18.4,74.5,0,0,1022,0,17.0,16.9,-40,290,0.780
2023-01-01 22:00:00,17.9,76.5,0,0,1022,0,16.1,15.9,-40,255,1
2023-01-01 23:00:00,18.0,77.8,0,0,1021,0,16.5,16.6,-40,274,0.763
2023-01-02 00:00:00,17.7,79.7,0,0,1021,0,16.5,16.3,-40,293,0.763
2023-01-02 01:00:00,17.5,79,0,0,1021,0,16.1,16.0,-40,290,0.729
2023-01-02 02:00:00,16.8,80.3,0,0,1020,0,15.4,15.4,-40,301,1.03
2023-01-02 03:00:00,16.8,76.7,0,0,1020,0,15.8,15.8,-40,295,1.10
2023-01-02 04:00:00,16.5,81.1,0,0,1021,0,15.4,15.4,-40,301,1.32
2023-01-02 05:00:00,15.9,86.3,0,0,1021,0,14.9,14.9,-40,283,1.53
2023-01-02 06:00:00,15.4,87.6,2.10,1.97,1022,0,14.6,14.6,-40,295,1.34
2023-01-02 07:00:00,15.3,88.1,22.2,20.9,1023,0,14.8,14.8,-40,290,1.61
2023-01-02 08:00:00,15.4,88,64.3,60.4,1023,0,15.6,15.7,-40,282,1.34
2023-01-02 09:00:00,15.7,87.5,93,87.7,1023,0,16.4,16.6,-40,282,1.59
2023-01-02 10:00:00,16.1,87.3,137,129,1023,0,17.3,17.6,-40,283,1.43
2023-01-02 11:00:00,16.0,88.1,99.4,94.9,1023,0,16.9,17.1,-40,301,1.27
2023-01-02 12:00:00,15.9,89.0,90.6,85.7,1022,0,16.6,16.8,-40,284,1.17
2023-01-02 13:00:00,15.9,89.6,59.5,56.2,1021,0,16.3,16.3,-40,291,1.27
